,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01010223,337,27,65,9,0,193,32,10,1
S01010224,469,7,36,0,0,416,6,3,1
S01010225,431,35,90,18,0,241,43,3,1
S01010226,394,11,10,1,0,355,11,2,4
S01010227,294,7,8,0,0,260,9,6,4
S01010228,384,67,50,0,0,251,14,1,1
S01010229,508,29,122,1,0,326,20,4,6
S01010230,577,10,18,6,0,525,16,1,1
S01010231,514,11,11,2,0,473,16,1,0
S01010232,485,9,66,2,0,381,23,4,0
S01010233,476,39,30,1,0,388,13,2,3
S01010234,562,117,152,1,0,80,187,15,10
S01010235,446,30,155,8,0,5,211,27,10
S01010236,378,83,129,0,0,39,117,5,5
S01010237,353,72,122,2,0,54,94,7,2
S01010238,455,89,139,1,0,58,145,17,6
S01010239,424,55,73,5,0,226,59,5,1
S01010240,398,55,96,6,0,145,85,7,4
S01010241,623,103,159,1,0,183,166,7,4
S01010242,455,32,70,8,0,217,114,7,7
S01010243,610,38,80,3,0,279,198,11,1
S01010244,440,29,43,0,0,316,41,6,5
S01010245,509,13,21,1,0,446,26,2,0
S01010246,433,31,33,1,0,284,72,3,9
S01010247,356,80,162,0,0,97,13,4,0
S01010248,456,88,185,4,0,22,130,21,6
S01010249,403,76,124,1,0,16,158,24,4
S01010250,390,60,122,3,0,10,166,20,9
S01010251,317,27,84,0,0,7,184,13,2
S01010252,297,46,106,2,0,34,100,6,3
S01010253,364,25,56,1,0,235,39,4,4
S01010254,581,31,85,57,0,321,78,8,1
S01010255,353,17,31,0,0,254,35,10,6
S01010256,516,28,32,1,0,420,29,2,4
S01010257,497,25,32,5,0,135,289,8,3
S01010258,424,29,90,2,0,16,265,17,5
S01010259,468,33,23,1,0,364,38,8,1
S01010260,685,80,139,6,0,154,241,27,38
S01010261,526,71,36,2,0,280,123,6,8
S01010262,535,62,38,7,0,340,69,14,5
S01010263,422,51,88,3,0,32,227,13,8
S01010264,557,55,93,4,0,134,242,25,4
S01010265,573,59,153,8,0,2,310,24,17
S01010266,237,42,51,0,0,30,93,10,11
S01010267,318,15,45,3,0,16,223,8,8
S01010268,417,70,86,5,0,93,136,11,16
S01010269,320,32,57,1,0,56,148,16,10
S01010270,817,76,61,3,0,494,141,20,22
S01010271,327,35,58,3,0,52,164,9,6
S01010272,703,38,87,1,0,402,151,18,6
S01010273,409,36,69,4,0,13,265,11,11
S01010274,342,31,85,3,0,17,182,14,10
S01010275,357,31,74,2,0,10,205,22,13
S01010276,625,62,180,0,0,13,329,18,23
S01010277,305,19,18,10,0,194,54,7,3
S01010278,330,19,42,1,0,215,44,8,1
S01010279,312,25,45,4,0,126,100,7,5
S01010280,426,46,76,3,0,82,199,17,3
S01010281,466,43,122,1,0,62,215,14,9
S01010282,645,64,108,0,0,278,170,19,6
S01010283,296,23,59,1,0,59,135,10,9
S01010284,638,56,177,1,0,96,273,30,5
S01010285,420,30,76,5,0,135,157,14,3
S01010286,365,30,96,3,0,57,156,15,8
S01010287,387,49,94,2,0,26,202,12,2
S01010288,349,45,89,2,0,31,155,26,1
S01010289,380,66,187,1,0,11,104,7,4
S01010290,278,29,57,1,0,66,111,7,7
S01010291,481,53,73,4,0,126,204,18,3
S01010292,409,81,113,4,0,11,179,16,5
S01010293,373,30,58,18,0,89,167,10,1
S01010294,275,58,52,4,0,16,124,18,3
S01010295,427,62,90,8,0,23,211,22,11
S01010296,291,29,56,5,0,96,90,8,7
S01010297,676,82,86,5,0,332,152,15,4
S01010298,515,54,73,5,0,266,99,16,2
S01010299,292,31,33,2,0,189,24,10,3
S01010300,478,46,67,2,0,194,145,21,3
S01010301,283,27,62,18,0,23,114,19,20
S01010302,388,28,29,2,0,291,27,8,3
S01010303,250,13,12,2,0,205,14,2,2
S01010304,332,24,39,15,0,194,48,6,6
S01010305,478,49,105,1,0,219,95,5,4
S01010306,449,59,111,5,0,91,157,15,11
S01010307,428,76,152,1,0,31,142,20,6
S01010308,480,81,143,8,0,48,174,18,8
S01010309,264,36,33,1,0,173,20,0,1
S01010310,381,11,50,6,0,216,77,11,10
S01010311,351,27,29,4,0,262,25,1,3
S01010312,425,1,3,0,0,418,3,0,0
S01010313,356,11,9,0,0,316,15,4,1
S01010314,550,11,84,14,0,393,42,3,3
S01010315,409,46,132,3,0,137,70,19,2
S01010316,304,9,25,0,0,232,30,4,4
S01010317,394,58,130,3,0,44,140,12,7
S01010318,304,10,28,1,0,205,50,6,4
S01010319,407,45,138,6,0,96,104,10,8
S01010320,437,21,83,3,0,211,92,17,10
S01010321,432,43,102,1,0,158,110,15,3
S01010322,549,131,175,1,0,19,190,22,11
S01010323,377,6,5,0,0,358,6,1,1
S01010324,403,81,57,0,0,235,26,3,1
S01010325,501,150,76,0,0,242,31,1,1
S01010326,494,19,40,1,0,410,22,1,1
S01010327,362,22,113,2,0,186,33,5,1
S01010328,445,100,160,3,0,128,46,6,2
S01010329,290,75,74,0,0,108,27,4,2
S01010330,299,26,42,5,0,213,12,1,0
S01010331,520,112,115,0,0,247,35,5,6
S01010332,279,41,84,1,0,130,18,2,3
S01010333,487,104,123,3,0,193,51,5,8
S01010334,433,69,186,4,0,134,35,3,2
S01010335,345,76,87,0,0,159,14,5,4
S01010336,379,20,14,0,0,338,3,3,1
S01010337,278,53,78,0,0,133,13,1,0
S01010338,356,40,52,1,0,251,10,1,1
S01010339,284,86,81,2,0,99,10,3,3
S01010340,349,44,77,2,0,214,8,4,0
S01010341,253,68,113,0,0,57,13,1,1
S01010342,302,84,180,0,0,10,23,4,1
S01010343,365,77,252,0,0,9,22,4,1
S01010344,419,28,37,0,0,347,5,2,0
S01010345,160,27,109,0,0,4,20,0,0
S01010346,410,123,215,0,0,40,27,2,3
S01010347,466,61,83,1,0,270,47,2,2
S01010348,483,118,154,0,0,179,25,5,2
S01010349,443,81,140,1,0,201,14,3,3
S01010350,475,67,64,0,0,326,17,1,0
S01010351,398,46,137,0,0,147,64,4,0
S01010352,276,61,65,0,0,122,25,2,1
S01010353,562,6,25,4,0,516,8,3,0
S01010354,375,58,69,1,0,183,59,2,3
S01010355,402,51,70,0,0,234,41,3,3
S01010356,308,28,135,19,0,80,43,3,0
S01010357,340,39,47,0,0,236,12,4,2
S01010358,507,68,68,1,0,332,27,8,3
S01010359,456,32,23,1,0,379,15,4,2
S01010360,285,21,51,0,0,185,25,1,2
S01010361,402,12,9,0,0,356,11,6,8
S01010362,611,52,33,2,0,497,18,4,5
S01010363,394,114,153,4,0,35,77,8,3
S01010364,337,151,163,0,0,11,9,3,0
S01010365,449,177,183,1,0,4,64,14,6
S01010366,502,168,222,1,0,14,86,10,1
S01010367,507,195,189,3,0,15,85,9,11
S01010368,355,148,134,0,0,5,56,5,7
S01010369,433,74,113,0,0,112,111,12,11
S01010370,335,70,127,4,0,13,105,8,8
S01010371,461,107,174,2,0,6,158,8,6
S01010372,226,65,95,1,0,11,43,7,4
S01010373,408,95,134,1,0,37,115,23,3
S01010374,469,129,149,4,0,21,140,16,10
S01010375,219,29,44,3,0,5,127,11,0
S01010376,367,40,89,0,0,32,197,8,1
S01010377,375,53,76,5,0,36,185,12,8
S01010378,272,29,75,4,0,14,132,18,0
S01010379,446,65,96,8,0,75,168,26,8
S01010380,521,128,144,2,0,69,153,19,6
S01010381,372,35,66,1,0,31,214,13,12
S01010382,483,76,122,0,0,97,163,23,2
S01010383,393,19,50,0,0,193,123,8,0
S01010384,454,81,115,2,0,47,186,18,5
S01010385,498,60,99,2,0,163,144,26,4
S01010386,528,37,90,5,0,259,115,9,13
S01010387,587,49,119,0,0,154,236,21,8
S01010388,584,60,110,15,0,268,115,8,8
S01010389,668,49,195,1,0,45,344,17,17
S01010390,716,78,227,2,0,118,267,20,4
S01010391,541,56,170,6,0,86,207,14,2
S01010392,416,32,96,2,0,12,255,9,10
S01010393,634,126,174,1,0,69,238,14,12
S01010394,516,44,58,3,0,361,42,7,1
S01010395,637,94,198,0,0,159,158,23,5
S01010396,585,74,110,6,0,189,184,14,8
S01010397,294,56,89,3,0,50,86,10,0
S01010398,583,150,201,1,0,12,199,11,9
S01010399,615,132,208,0,0,4,246,15,10
S01010400,530,182,208,0,0,29,93,12,6
S01010401,400,105,100,0,0,76,108,10,1
S01010402,513,160,186,5,0,34,115,9,4
S01010403,509,183,200,1,0,4,111,4,6
S01010404,406,130,147,2,0,37,80,9,1
S01010405,408,130,156,0,0,7,103,4,8
S01010406,435,95,144,0,0,9,170,13,4
S01010407,418,98,92,5,0,4,201,9,9
S01010408,272,67,88,0,0,89,23,3,2
S01010409,245,105,125,0,0,8,4,0,3
S01010410,248,100,115,1,0,5,19,4,4
S01010411,365,171,164,0,0,8,13,3,6
S01010412,424,107,135,1,0,7,154,11,9
S01010413,340,187,108,2,0,6,30,2,5
S01010414,497,173,182,0,0,73,59,8,2
S01010415,555,104,122,0,0,275,44,7,3
S01010416,322,138,110,4,0,8,51,8,3
S01010417,286,96,121,2,0,10,41,5,11
S01010418,561,158,228,2,0,31,121,14,7
S01010419,500,196,200,1,0,21,75,4,3
S01010420,290,158,100,0,0,14,10,2,6
S01010421,346,142,152,0,0,23,22,6,1
S01010422,483,173,181,2,0,83,35,4,5
S01010423,490,30,73,4,0,304,71,5,3
S01010424,471,69,100,1,0,228,60,10,3
S01010425,621,31,112,5,0,374,91,8,0
S01010426,406,58,102,0,0,183,52,8,3
S01010427,499,83,112,1,0,283,12,4,4
S01010428,319,103,131,0,0,64,18,2,1
S01010429,388,139,202,0,0,19,21,3,4
S01010430,451,52,76,3,0,285,26,4,5
S01010431,258,94,138,0,0,12,8,3,3
S01010432,464,34,104,2,0,258,58,4,4
S01010433,338,7,15,2,0,304,7,2,1
S01010434,331,22,41,0,0,216,37,11,4
S01010435,291,72,103,1,0,97,14,0,4
S01010436,433,24,73,1,0,275,55,5,0
S01010437,269,53,85,1,0,115,12,2,1
S01010438,370,10,104,1,0,238,14,0,3
S01010439,512,34,131,2,0,242,93,10,0
S01010440,322,60,66,0,0,181,13,0,2
S01010441,488,39,228,2,0,103,101,11,4
S01010442,383,24,103,0,0,193,54,7,2
S01010443,228,57,90,0,0,49,25,0,7
S01010444,289,77,100,1,0,89,17,5,0
S01010445,307,44,118,0,0,129,13,2,1
S01010446,329,100,148,0,0,66,8,2,5
S01010447,521,53,124,0,0,310,32,2,0
S01010448,360,96,173,1,0,69,19,1,1
S01010449,370,106,123,0,0,102,34,2,3
S01010450,407,88,146,0,0,138,28,2,5
S01010451,438,61,78,0,0,284,12,1,2
S01010452,408,127,125,0,0,109,33,3,11
S01010453,372,29,57,2,0,264,17,0,3
S01010454,383,106,153,1,0,93,23,5,2
S01010455,604,63,70,2,0,442,23,2,2
S01010456,313,87,97,2,0,98,16,8,5
S01010457,340,68,90,1,0,171,6,1,3
S01010458,411,105,102,1,0,185,13,3,2
S01010459,258,75,106,0,0,50,22,0,5
S01010460,346,98,172,1,0,20,43,5,7
S01010461,386,82,102,0,0,167,25,7,3
S01010462,437,4,9,1,0,413,9,1,0
S01010463,376,120,147,0,0,84,19,5,1
S01010464,248,71,108,0,0,57,11,1,0
S01010465,451,104,257,7,0,23,47,8,5
S01010466,458,100,221,0,0,7,112,13,5
S01010467,476,228,137,1,0,10,78,13,9
S01010468,417,149,164,4,0,3,76,16,5
S01010469,405,57,110,0,0,119,111,7,1
S01010470,364,91,143,1,0,95,23,3,8
S01010471,316,71,102,0,0,106,29,3,5
S01010472,290,32,141,1,0,41,66,3,6
S01010473,435,95,191,0,0,39,86,13,11
S01010474,431,62,150,0,0,83,111,18,7
S01010475,384,85,210,1,0,7,69,6,6
S01010476,523,142,172,33,0,106,60,6,4
S01010477,354,109,136,0,0,74,26,4,5
S01010478,628,79,157,0,0,334,50,3,5
S01010479,512,101,180,1,0,188,27,12,3
S01010480,285,83,121,0,0,65,10,5,1
S01010481,267,30,51,1,0,162,20,2,1
S01010482,354,87,148,2,0,97,14,1,5
S01010483,526,114,209,0,0,163,29,4,7
S01010484,246,45,87,0,0,95,18,0,1
S01010485,396,119,170,0,0,88,13,1,5
S01010486,371,158,190,0,0,11,8,2,2
S01010487,432,122,187,2,0,92,17,3,9
S01010488,338,30,57,5,0,216,19,5,6
S01010489,450,69,128,0,0,240,11,0,2
S01010490,308,18,49,1,0,223,15,2,0
S01010491,417,17,26,3,0,360,8,0,3
S01010492,255,3,8,0,0,234,6,2,2
S01010493,308,3,6,2,0,293,3,0,1
S01010494,252,22,100,0,0,119,9,2,0
S01010495,418,14,34,4,0,353,7,5,1
S01010496,388,17,23,14,0,319,12,2,1
S01010497,285,8,73,5,0,193,4,2,0
S01010498,357,11,24,8,0,303,9,1,1
S01010499,451,15,13,0,0,410,9,3,1
S01010500,398,12,63,1,0,310,9,3,0
S01010501,430,31,113,11,0,258,15,1,1
S01010502,331,15,123,10,0,168,9,6,0
S01010503,321,31,44,3,0,227,12,1,3
S01010504,247,122,38,3,13,13,36,14,8
S01010505,244,110,49,0,10,24,36,2,13
S01010506,380,164,101,1,20,45,30,7,12
S01010507,345,114,97,0,49,31,38,8,8
S01010508,449,187,91,2,49,35,40,13,32
S01010509,393,161,110,4,13,19,39,22,25
S01010510,340,131,119,1,23,44,10,6,6
S01010511,369,57,93,21,108,73,10,5,2
S01010512,281,83,86,1,65,25,13,3,5
S01010513,300,125,116,0,18,5,24,6,6
S01010514,287,81,106,1,69,8,12,5,5
S01010515,350,93,109,2,106,10,15,5,10
S01010516,270,91,70,11,21,34,25,5,13
S01010517,362,96,103,11,72,41,32,4,3
S01010518,293,92,94,1,42,10,43,9,2
S01010519,282,70,83,0,95,8,15,9,2
S01010520,410,141,143,22,21,35,29,6,13
S01010521,339,95,85,0,90,26,23,9,11
S01010522,283,34,56,24,28,94,35,5,7
S01010523,258,39,31,1,65,105,12,3,2
S01010524,234,110,71,0,9,11,18,6,9
S01010525,259,124,79,1,9,7,24,3,12
S01010526,364,114,108,4,68,14,30,12,14
S01010527,455,131,103,0,147,29,27,8,10
S01010528,265,97,71,0,25,11,30,11,20
S01010529,283,110,101,0,26,21,14,7,4
S01010530,278,126,84,0,13,7,28,7,13
S01010531,496,214,138,2,38,36,47,5,16
S01010532,245,107,40,0,2,10,37,7,42
S01010533,272,124,64,0,22,27,24,7,4
S01010534,374,138,109,2,63,27,27,2,6
S01010535,305,112,73,1,11,17,61,8,22
S01010536,397,103,102,8,94,45,33,10,2
S01010537,330,92,95,1,48,25,46,7,16
S01010538,337,58,97,8,9,103,58,2,2
S01010539,496,153,142,10,32,27,104,12,16
S01010540,298,131,74,7,11,11,50,10,4
S01010541,362,146,108,1,23,14,48,7,15
S01010542,388,164,102,3,30,23,33,9,24
S01010543,255,104,79,0,12,0,40,9,11
S01010544,370,136,114,0,70,6,31,6,7
S01010545,344,126,99,4,37,31,35,11,1
S01010546,369,144,84,3,20,42,58,7,11
S01010547,313,143,71,0,20,1,41,6,31
S01010548,299,160,68,0,4,1,58,2,6
S01010549,366,118,170,2,4,15,47,5,5
S01010550,236,87,76,0,37,11,21,2,2
S01010551,267,87,102,3,10,17,41,4,3
S01010552,334,114,102,2,26,2,68,9,11
S01010553,261,88,65,1,3,2,89,1,12
S01010554,396,133,123,12,24,5,80,6,13
S01010555,450,124,144,11,33,22,95,13,8
S01010556,410,71,111,0,169,35,17,5,2
S01010557,278,93,82,1,84,1,9,6,2
S01010558,385,170,99,4,59,24,20,2,7
S01010559,351,188,88,1,41,2,25,2,4
S01010560,291,151,104,0,6,2,20,2,6
S01010561,301,173,86,6,5,2,22,3,4
S01010562,314,154,119,1,12,4,15,5,4
S01010563,211,58,73,0,30,33,10,5,2
S01010564,269,48,47,0,75,85,9,2,3
S01010565,276,99,94,0,63,2,14,2,2
S01010566,453,155,139,0,22,13,54,23,47
S01010567,379,154,175,1,0,2,42,1,4
S01010568,391,117,168,3,48,10,40,0,5
S01010569,295,113,98,0,4,3,72,1,4
S01010570,467,125,136,0,133,36,26,4,7
S01010571,398,113,206,1,5,3,64,3,3
S01010572,336,51,129,3,75,4,68,6,0
S01010573,222,49,109,0,50,0,8,2,4
S01010574,236,86,130,0,1,3,14,0,2
S01010575,284,152,107,0,7,1,13,3,1
S01010576,326,169,131,0,6,3,13,0,4
S01010577,354,66,115,0,140,17,13,1,2
S01010578,203,30,108,2,37,12,12,1,1
S01010579,325,129,160,1,6,1,21,4,3
S01010580,305,46,95,2,26,7,113,7,9
S01010581,243,43,138,0,9,2,42,4,5
S01010582,185,63,83,0,2,2,31,1,3
S01010583,440,149,214,4,2,2,62,3,4
S01010584,312,64,146,19,7,48,23,3,2
S01010585,304,27,204,4,1,18,46,4,0
S01010586,305,115,164,0,1,3,18,2,2
S01010587,293,134,125,3,4,3,18,4,2
S01010588,268,105,115,2,2,19,23,2,0
S01010589,299,39,110,23,31,49,39,4,4
S01010590,293,89,177,1,3,0,14,3,6
S01010591,303,27,168,24,5,34,40,4,1
S01010592,273,69,103,11,1,7,75,7,0
S01010593,259,99,129,0,2,3,21,3,2
S01010594,281,57,118,7,3,14,76,4,2
S01010595,310,31,167,5,2,27,68,6,4
S01010596,310,85,146,0,1,5,52,8,13
S01010597,274,27,162,8,6,31,36,1,3
S01010598,404,47,215,8,5,30,87,7,5
S01010599,248,81,118,0,2,0,38,3,6
S01010600,427,183,164,4,8,21,41,3,3
S01010601,302,171,76,7,1,18,21,1,7
S01010602,260,89,124,1,3,0,34,7,2
S01010603,369,190,123,3,5,4,40,3,1
S01010604,193,85,96,0,1,1,7,2,1
S01010605,387,212,131,2,5,2,24,6,5
S01010606,371,114,110,3,12,86,28,9,9
S01010607,346,155,145,1,1,3,28,4,9
S01010608,306,50,66,2,112,44,24,3,5
S01010609,242,53,85,0,68,15,17,3,1
S01010610,318,175,85,1,12,3,36,4,2
S01010611,496,109,198,3,82,25,71,7,1
S01010612,316,100,139,1,24,21,24,6,1
S01010613,341,106,74,1,50,70,35,3,2
S01010614,264,44,77,1,112,5,23,0,2
S01010615,383,70,172,2,32,4,96,5,2
S01010616,359,177,139,0,3,3,27,3,7
S01010617,360,160,159,0,4,2,27,5,3
S01010618,307,113,161,2,4,2,15,9,1
S01010619,318,43,82,6,40,41,90,10,6
S01010620,369,34,42,6,113,12,140,15,7
S01010621,432,121,124,11,25,26,104,9,12
S01010622,333,67,77,1,135,0,43,4,6
S01010623,278,36,31,3,11,43,33,116,5
S01010624,244,62,87,0,49,4,28,13,1
S01010625,333,194,98,0,4,2,25,5,5
S01010626,368,212,105,1,7,12,24,2,5
S01010627,401,128,106,1,32,8,115,8,3
S01010628,472,159,158,0,11,5,114,13,12
S01010629,445,155,123,0,43,37,75,8,4
S01010630,252,56,71,2,90,4,25,2,2
S01010631,326,90,73,1,55,1,88,14,4
S01010632,486,145,132,2,137,3,54,3,10
S01010633,476,106,106,5,189,32,24,5,9
S01010634,264,83,76,1,29,51,18,3,3
S01010635,351,88,89,2,134,6,21,6,5
S01010636,386,137,154,1,27,2,48,9,8
S01010637,352,53,64,2,53,74,95,9,2
S01010638,417,137,102,1,103,8,55,5,6
S01010639,555,111,126,14,139,55,93,13,4
S01010640,411,73,113,6,22,22,154,11,10
S01010641,531,45,72,20,208,115,58,13,0
S01010642,451,61,87,8,242,26,18,4,5
S01010643,287,26,40,1,203,11,4,2,0
S01010644,346,26,34,2,237,35,10,2,0
S01010645,278,83,116,8,4,1,61,1,4
S01010646,287,130,114,1,7,1,30,2,2
S01010647,306,120,132,3,8,1,30,7,5
S01010648,306,97,118,1,20,35,28,4,3
S01010649,280,142,93,0,5,3,27,9,1
S01010650,196,30,63,16,12,29,37,5,4
S01010651,295,65,115,0,81,8,18,3,5
S01010652,309,89,138,3,8,28,32,10,1
S01010653,300,120,133,1,6,4,27,6,3
S01010654,348,75,151,3,61,30,22,5,1
S01010655,380,154,129,1,14,3,50,14,15
S01010656,182,64,64,7,31,6,8,0,2
S01010657,248,127,90,1,4,2,17,2,5
S01010658,296,156,89,3,6,1,32,2,7
S01010659,276,131,82,1,2,1,51,1,7
S01010660,285,108,92,0,47,2,27,5,4
S01010661,307,99,79,0,69,10,37,5,8
S01010662,310,107,151,1,18,12,14,2,5
S01010663,381,177,140,1,1,12,35,7,8
S01010664,337,176,115,3,4,2,22,6,9
S01010665,430,201,129,1,6,19,50,10,14
S01010666,416,145,130,1,45,33,45,5,12
S01010667,288,129,90,0,13,3,41,4,8
S01010668,503,209,144,2,56,16,46,9,21
S01010669,266,128,71,1,10,14,24,4,14
S01010670,296,129,93,4,21,14,18,5,12
S01010671,329,159,85,7,25,18,20,5,10
S01010672,321,92,69,0,61,62,16,9,12
S01010673,419,154,99,1,62,48,42,2,11
S01010674,419,163,131,4,29,40,36,8,8
S01010675,273,143,79,0,9,16,12,7,7
S01010676,392,179,97,3,18,35,36,14,10
S01010677,224,129,53,0,7,7,12,12,4
S01010678,273,124,93,0,10,15,18,6,7
S01010679,282,109,61,5,45,32,22,4,4
S01010680,315,79,72,0,71,67,12,4,10
S01010681,461,93,119,29,43,145,27,2,3
S01010682,398,181,137,1,8,19,31,10,11
S01010683,423,225,117,0,28,20,21,2,10
S01010684,361,200,88,2,20,5,32,6,8
S01010685,294,171,64,3,13,15,16,3,9
S01010686,309,148,80,1,14,19,24,5,18
S01010687,379,185,97,5,47,11,18,5,11
S01010688,335,181,64,1,20,27,29,5,8
S01010689,378,215,63,0,28,13,35,9,15
S01010690,330,124,76,0,63,13,27,12,15
S01010691,325,165,68,3,5,1,51,6,26
S01010692,307,87,105,4,28,51,23,4,5
S01010693,216,121,51,0,16,2,8,5,13
S01010694,270,148,61,0,19,15,14,5,8
S01010695,304,150,86,0,3,2,53,1,9
S01010696,402,138,153,2,61,7,31,4,6
S01010697,458,200,146,0,30,3,57,11,11
S01010698,338,132,77,2,19,22,50,6,30
S01010699,250,92,87,0,10,2,42,4,13
S01010700,258,108,89,0,19,2,25,5,10
S01010701,432,136,160,1,46,42,38,6,3
S01010702,417,204,146,2,4,4,33,3,21
S01010703,341,177,103,1,2,3,52,0,3
S01010704,300,84,107,1,82,5,13,1,7
S01010705,463,152,184,11,41,40,24,5,6
S01010706,293,66,99,3,47,48,24,2,4
S01010707,265,141,72,0,2,0,33,7,10
S01010708,252,92,98,1,31,6,9,3,12
S01010709,299,112,138,1,15,13,15,1,4
S01010710,316,86,72,0,134,18,4,1,1
S01010711,319,150,119,1,17,15,11,3,3
S01010712,269,65,76,2,98,9,12,6,1
S01010713,322,88,121,1,79,2,19,5,7
S01010714,380,92,72,0,167,6,33,5,5
S01010715,340,99,109,2,86,7,20,6,11
S01010716,444,107,128,12,38,47,83,12,17
S01010717,272,151,101,0,3,0,10,3,4
S01010718,393,142,139,11,30,32,29,6,4
S01010719,282,111,88,4,41,3,25,2,8
S01010720,336,170,92,2,41,5,10,3,13
S01010721,296,160,89,4,3,1,34,2,3
S01010722,394,152,125,1,65,13,29,2,7
S01010723,329,143,118,1,7,3,47,4,6
S01010724,354,136,115,2,32,9,43,7,10
S01010725,287,147,94,0,1,0,36,2,7
S01010726,415,205,116,2,38,20,22,4,8
S01010727,243,122,84,0,7,1,19,1,9
S01010728,204,96,81,0,4,0,22,0,1
S01010729,269,134,93,0,6,2,21,4,9
S01010730,343,174,122,0,7,1,28,3,8
S01010731,399,151,111,1,77,2,44,5,8
S01010732,334,71,92,1,152,1,12,2,3
S01010733,246,32,52,0,144,5,4,3,6
S01010734,362,53,84,2,201,4,8,3,7
S01010735,244,21,40,0,176,1,5,0,1
S01010736,218,108,88,0,6,1,13,0,2
S01010737,487,154,136,7,96,34,35,8,17
S01010738,235,86,62,1,71,2,6,2,5
S01010739,388,91,133,9,84,30,32,3,6
S01010740,260,29,24,2,13,179,9,1,3
S01010741,249,114,70,3,27,18,12,2,3
S01010742,308,91,101,2,69,18,20,4,3
S01010743,273,45,61,1,92,64,8,2,0
S01010744,459,193,142,0,58,27,21,10,8
S01010745,327,105,87,0,51,29,43,5,7
S01010746,441,157,142,1,40,8,77,4,12
S01010747,357,103,97,4,53,67,26,3,4
S01010748,280,127,87,0,13,9,22,4,18
S01010749,261,120,74,1,13,0,35,8,10
S01010750,287,164,66,0,8,0,29,6,14
S01010751,333,82,50,1,164,2,23,9,2
S01010752,332,75,93,0,22,85,36,9,12
S01010753,434,121,119,7,144,23,16,3,1
S01010754,357,120,85,1,60,47,33,3,8
S01010755,298,90,81,3,70,12,26,6,10
S01010756,286,142,98,0,11,6,20,3,6
S01010757,365,179,78,0,36,5,32,5,30
S01010758,305,164,65,0,24,4,35,8,5
S01010759,279,83,85,3,37,39,29,2,1
S01010760,306,155,61,0,50,11,20,4,5
S01010761,222,105,60,0,1,1,27,12,16
S01010762,263,122,72,0,28,3,23,5,10
S01010763,316,135,61,2,81,4,23,3,7
S01010764,289,147,64,1,26,1,28,6,16
S01010765,471,225,98,1,79,6,34,10,18
S01010766,359,157,81,0,64,10,28,8,11
S01010767,347,131,67,1,97,25,16,3,7
S01010768,284,127,55,0,73,5,14,5,5
S01010769,217,131,45,0,4,0,21,1,15
S01010770,385,118,112,1,62,38,35,5,14
S01010771,445,214,71,1,83,18,29,6,23
S01010772,376,197,64,1,40,8,37,6,23
S01010773,336,166,99,1,33,2,19,3,13
S01010774,325,131,85,1,74,2,16,4,12
S01010775,266,126,103,0,15,0,9,4,9
S01010776,266,91,79,0,63,2,23,3,5
S01010777,270,71,55,0,91,31,14,4,4
S01010778,239,33,38,0,119,36,9,2,2
S01010779,355,96,73,2,139,15,21,2,7
S01010780,261,114,75,1,53,1,9,1,7
S01010781,350,136,125,1,16,33,23,10,6
S01010782,293,99,80,1,59,14,30,2,8
S01010783,275,82,68,2,88,1,21,0,13
S01010784,345,71,97,0,151,3,20,2,1
S01010785,301,147,105,0,32,1,11,2,3
S01010786,255,89,121,1,27,1,8,5,3
S01010787,384,167,106,0,62,2,33,4,10
S01010788,274,120,88,0,28,2,27,3,6
S01010789,292,118,88,1,62,0,15,3,5
S01010790,282,159,75,0,21,1,16,2,8
S01010791,369,204,104,1,24,2,22,5,7
S01010792,287,78,75,0,109,6,14,0,5
S01010793,275,129,94,2,17,3,21,1,8
S01010794,234,80,87,5,12,9,29,7,5
S01010795,445,202,137,0,58,1,37,7,3
S01010796,341,177,102,1,14,1,29,12,5
S01010797,329,146,121,2,18,4,28,1,9
S01010798,293,155,79,0,26,1,22,1,9
S01010799,530,186,114,5,87,48,67,5,18
S01010800,360,110,96,2,52,77,15,3,5
S01010801,354,119,94,1,115,5,15,3,2
S01010802,263,84,90,0,57,12,9,5,6
S01010803,280,79,61,0,63,44,23,5,5
S01010804,283,124,68,0,11,47,20,4,9
S01010805,377,159,114,0,16,58,25,4,1
S01010806,458,112,103,2,128,83,23,5,2
S01010807,244,85,62,2,9,68,14,2,2
S01010808,230,86,68,2,1,58,6,4,5
S01010809,328,141,118,0,29,7,24,5,4
S01010810,249,130,43,0,43,3,10,8,12
S01010811,414,197,80,1,43,7,41,12,33
S01010812,238,130,46,0,22,13,9,3,15
S01010813,249,93,60,0,28,35,17,4,12
S01010814,307,170,65,0,21,8,19,13,11
S01010815,208,90,30,0,26,16,26,2,18
S01010816,293,143,94,0,0,26,19,5,6
S01010817,376,168,158,0,0,6,33,5,6
S01010818,507,213,197,0,0,20,59,6,12
S01010819,374,145,147,1,0,44,27,7,3
S01010820,217,104,87,0,0,1,19,4,2
S01010821,245,128,83,0,0,10,20,0,4
S01010822,280,93,127,0,0,7,42,6,5
S01010823,147,19,72,24,0,17,14,1,0
S01010824,250,45,180,3,0,11,9,2,0
S01010825,125,27,86,0,0,1,7,3,1
S01010826,315,129,131,0,0,5,45,4,1
