,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01009884,634,297,268,0,18,27,24
S01009885,663,252,317,0,23,40,31
S01009886,626,278,251,0,22,35,40
S01009887,774,410,238,0,30,66,30
S01009888,527,218,236,0,21,34,18
S01009889,652,330,214,0,27,39,42
S01009890,439,200,148,2,25,35,29
S01009891,635,293,195,3,25,71,48
S01009892,708,336,205,4,30,88,45
S01009893,672,384,190,2,23,53,20
S01009894,689,319,191,0,35,71,73
S01009895,620,291,177,0,32,84,36
S01009896,769,372,220,1,51,80,45
S01009897,810,345,301,0,27,61,76
S01009898,490,194,187,3,33,35,38
S01009899,684,382,189,0,18,46,49
S01009900,741,475,168,2,26,47,23
S01009901,741,445,198,2,27,46,23
S01009902,804,325,256,0,36,64,123
S01009903,652,287,283,2,27,33,20
S01009904,696,380,180,2,13,59,62
S01009905,622,356,185,2,18,40,21
S01009906,557,317,172,0,20,37,11
S01009907,730,465,112,4,39,72,38
S01009908,856,450,296,6,24,63,17
S01009909,767,465,196,0,33,52,21
S01009910,455,298,101,0,15,32,9
S01009911,840,303,359,2,26,69,81
S01009912,790,241,377,4,18,45,105
S01009913,591,187,353,0,13,23,15
S01009914,819,245,435,8,15,57,59
S01009915,752,252,360,6,35,48,51
S01009916,776,218,457,0,20,34,47
S01009917,592,217,276,2,10,38,49
S01009918,578,189,320,10,9,22,28
S01009919,948,494,267,2,37,68,80
S01009920,782,516,152,4,21,56,33
S01009921,593,390,110,4,24,47,18
S01009922,940,592,223,0,27,57,41
S01009923,788,436,175,0,31,97,49
S01009924,896,544,205,9,24,66,48
S01009925,602,420,118,2,14,32,16
S01009926,660,366,191,2,21,45,35
S01009927,443,203,141,0,16,48,35
S01009928,763,339,258,8,25,78,55
S01009929,423,138,211,1,13,21,39
S01009930,758,459,199,0,29,44,27
S01009931,692,444,159,0,26,45,18
S01009932,576,345,136,0,13,53,29
S01009933,762,383,191,6,44,92,46
S01009934,753,327,306,0,32,41,47
S01009935,502,198,105,0,28,80,91
S01009936,568,282,127,0,35,66,58
S01009937,401,175,110,3,26,29,58
S01009938,818,314,226,0,46,126,106
S01009939,687,421,116,0,59,69,22
S01009940,678,303,182,2,34,89,68
S01009941,754,229,450,0,24,35,16
S01009942,836,380,245,1,40,86,84
S01009943,671,306,201,2,25,69,68
S01009944,658,270,251,0,22,54,61
S01009945,790,364,202,1,38,88,97
S01009946,672,270,250,1,33,59,59
S01009947,470,187,187,0,13,36,47
S01009948,671,263,191,1,41,94,81
S01009949,667,281,231,1,29,58,67
S01009950,593,173,355,0,9,17,39
S01009951,615,165,403,4,7,11,25
S01009952,599,174,316,6,14,28,61
S01009953,734,230,392,6,21,40,45
S01009954,511,167,298,0,8,23,15
S01009955,854,323,358,0,19,56,98
S01009956,617,257,239,0,26,45,50
S01009957,611,164,377,4,10,24,32
S01009958,747,232,426,2,22,29,36
S01009959,556,143,314,0,13,28,58
S01009960,758,226,387,2,10,27,106
S01009961,580,237,230,0,15,34,64
S01009962,888,462,241,2,42,80,61
S01009963,665,191,382,1,18,27,46
S01009964,743,262,396,2,22,29,32
S01009965,613,144,363,2,12,36,56
S01009966,645,177,392,0,17,23,36
S01009967,700,214,363,2,21,40,60
S01009968,523,165,288,0,10,22,38
S01009969,700,183,385,0,15,45,72
S01009970,733,353,156,0,47,88,89
S01009971,860,364,302,3,43,77,71
S01009972,680,231,288,1,19,57,84
S01009973,565,215,261,0,20,37,32
S01009974,468,236,108,0,22,60,42
S01009975,629,316,128,0,37,71,77
S01009976,385,192,88,0,23,47,35
S01009977,813,351,159,1,63,142,97
S01009978,773,410,200,0,46,77,40
S01009979,516,182,126,0,32,73,103
S01009980,541,259,120,0,22,67,73
S01009981,532,276,129,0,21,70,36
S01009982,767,364,245,0,55,74,29
S01009983,426,242,71,0,35,47,31
S01009984,580,274,179,0,33,60,34
S01009985,467,277,97,0,25,47,21
S01009986,446,212,114,0,23,56,41
S01009987,747,265,233,2,47,76,124
S01009988,447,193,111,0,31,57,55
S01009989,670,297,231,0,30,48,64
S01009990,553,244,221,0,19,34,35
S01009991,625,292,242,0,31,37,23
S01009992,573,262,151,0,27,65,68
S01009993,659,266,269,0,40,54,30
S01009994,532,233,214,0,19,39,27
S01009995,535,238,204,2,24,45,22
S01009996,572,238,231,0,35,29,39
S01009997,470,210,187,0,11,41,21
S01009998,524,163,284,0,13,13,51
S01009999,597,180,339,0,18,26,34
S01010000,491,210,199,2,21,37,22
S01010001,617,244,266,2,23,46,36
S01010002,644,253,279,0,27,39,46
S01010003,571,180,316,0,16,31,28
S01010004,617,191,355,2,6,18,45
S01010005,682,400,138,0,27,65,52
S01010006,810,470,165,8,29,66,72
S01010007,805,291,397,3,16,42,56
S01010008,567,340,117,0,30,50,30
S01010009,528,367,75,0,25,43,18
S01010010,858,285,460,2,19,46,46
S01010011,703,393,130,0,32,76,72
S01010012,685,221,338,1,22,34,69
S01010013,698,357,222,0,25,71,23
S01010014,874,393,325,4,33,79,40
S01010015,711,422,192,4,22,45,26
S01010016,611,214,247,0,21,46,83
S01010017,606,294,154,0,26,68,64
S01010018,798,339,217,4,41,90,107
S01010019,586,308,111,0,29,83,55
S01010020,627,259,200,0,39,51,78
S01010021,624,323,158,0,32,75,36
S01010022,773,417,199,4,32,76,45
S01010023,536,242,80,0,40,87,87
S01010024,625,338,132,2,32,74,47
S01010025,471,260,91,0,25,61,34
S01010026,758,435,167,5,34,82,35
S01010027,761,469,149,1,26,64,52
S01010028,547,267,119,0,31,62,68
S01010029,574,246,135,0,41,65,87
S01010030,704,411,180,4,24,55,30
S01010031,730,541,121,2,23,36,7
S01010032,804,674,85,2,14,23,6
S01010033,769,394,230,0,24,67,54
S01010034,882,501,162,0,35,84,100
S01010035,573,324,117,1,41,59,31
S01010036,767,631,109,0,7,19,1
S01010037,565,234,167,2,28,55,79
S01010038,867,452,203,2,36,88,86
S01010039,931,732,113,6,20,41,19
S01010040,666,380,179,2,24,63,18
S01010041,627,436,89,9,19,54,20
S01010042,974,677,171,2,38,67,19
S01010043,656,368,121,2,41,83,41
S01010044,993,515,245,1,44,89,99
S01010045,418,201,87,0,38,44,48
S01010046,647,352,134,3,30,72,56
S01010047,694,325,139,1,54,106,69
S01010048,810,379,198,1,46,94,92
S01010049,604,300,123,2,40,76,63
S01010050,807,459,141,0,44,98,65
S01010051,606,278,124,2,29,87,86
S01010052,555,305,102,3,34,69,42
S01010053,700,363,178,4,26,82,47
S01010054,411,233,91,1,25,41,20
S01010055,961,485,234,0,44,115,83
S01010056,360,196,79,0,22,42,21
S01010057,334,188,75,0,10,28,33
S01010058,613,343,138,0,37,64,31
S01010059,548,326,112,0,30,46,34
S01010060,768,404,181,2,32,92,57
S01010061,419,220,124,0,14,38,23
S01010062,594,265,197,0,27,53,52
S01010063,854,461,161,2,49,108,73
S01010064,442,190,142,2,31,40,37
S01010065,709,319,208,2,36,62,82
S01010066,608,313,158,0,35,49,53
S01010067,468,267,80,0,29,46,46
S01010068,524,271,146,1,22,37,47
S01010069,698,244,358,1,22,32,41
S01010070,556,195,298,0,20,24,19
S01010071,680,257,276,2,25,42,78
S01010072,693,239,325,0,22,39,68
S01010073,671,177,361,0,16,30,87
S01010074,694,202,346,1,19,34,92
S01010075,541,169,246,0,18,39,69
S01010076,553,231,232,0,21,28,41
S01010077,511,201,173,0,17,60,60
S01010078,510,144,293,2,14,33,24
S01010079,793,214,500,0,15,24,40
S01010080,577,141,348,0,6,23,59
S01010081,617,163,353,0,18,30,53
S01010082,742,262,328,0,28,52,72
S01010083,609,227,232,0,24,59,67
S01010084,750,291,263,1,36,70,89
S01010085,657,181,381,0,23,18,54
S01010086,778,314,256,0,37,66,105
S01010087,506,98,332,0,7,12,57
S01010088,612,197,355,5,18,28,9
S01010089,618,244,228,2,28,45,71
S01010090,875,326,393,0,32,53,71
S01010091,674,255,333,2,29,38,17
S01010092,822,289,324,1,40,66,102
S01010093,731,291,306,0,23,54,57
S01010094,564,160,287,0,23,25,69
S01010095,594,162,352,0,11,31,38
S01010096,617,209,307,2,19,42,38
S01010097,603,189,316,0,16,31,51
S01010098,600,169,344,0,15,29,43
S01010099,592,165,323,1,8,31,64
S01010100,766,239,400,2,20,42,63
S01010101,644,169,350,0,18,38,69
S01010102,749,253,415,2,25,41,13
S01010103,774,275,390,0,30,46,33
S01010104,554,209,272,0,18,38,17
S01010105,313,180,73,0,20,34,6
S01010106,357,166,99,0,15,34,43
S01010107,647,336,159,1,32,68,51
S01010108,623,222,231,0,22,63,85
S01010109,659,345,168,2,26,56,62
S01010110,684,275,198,0,36,81,94
S01010111,754,391,179,0,34,96,54
S01010112,728,405,141,1,39,95,47
S01010113,395,212,116,0,13,30,24
S01010114,614,312,157,2,36,61,46
S01010115,486,197,224,0,23,27,15
S01010116,794,372,324,0,31,43,24
S01010117,502,211,214,2,23,35,17
S01010118,478,283,75,0,25,61,34
S01010119,389,214,103,2,23,35,12
S01010120,772,424,176,2,39,82,49
S01010121,532,292,119,1,21,61,38
S01010122,380,191,78,0,29,57,25
S01010123,535,298,129,0,17,56,35
S01010124,506,249,146,2,31,58,20
S01010125,402,201,125,4,21,34,17
S01010126,593,227,243,2,38,39,44
S01010127,526,208,172,0,22,60,64
S01010128,343,212,55,0,25,38,13
S01010129,550,305,122,0,29,57,37
S01010130,341,126,122,0,19,32,42
S01010131,840,213,463,0,16,33,115
S01010132,809,346,232,0,52,84,95
S01010133,607,250,162,2,27,85,81
S01010134,840,353,247,2,43,80,115
S01010135,639,255,220,0,29,47,88
S01010136,679,260,274,2,15,62,66
S01010137,849,360,212,0,41,90,146
S01010138,841,370,163,0,69,153,86
S01010139,897,398,254,5,44,86,110
S01010140,596,322,166,1,33,52,22
S01010141,662,344,127,0,31,88,72
S01010142,491,233,149,0,27,48,34
S01010143,632,220,222,0,31,64,95
S01010144,575,307,141,0,34,64,29
S01010145,650,280,212,0,33,64,61
S01010146,627,356,127,2,35,69,38
S01010147,746,443,125,2,61,75,40
S01010148,601,317,156,1,26,57,44
S01010149,496,231,146,2,13,39,65
S01010150,540,220,170,0,17,47,86
S01010151,550,194,178,0,18,63,97
S01010152,736,296,279,2,26,50,83
S01010153,825,323,252,0,39,93,118
S01010154,783,297,253,0,28,72,133
S01010155,664,218,239,0,18,53,136
S01010156,477,180,154,0,31,48,64
S01010157,487,209,145,0,28,44,61
S01010158,790,300,274,2,35,65,114
S01010159,628,238,233,0,16,57,84
S01010160,473,233,140,0,23,58,19
S01010161,484,236,170,0,16,39,23
S01010162,639,341,90,2,32,85,89
S01010163,465,231,150,0,15,42,27
S01010164,628,266,200,0,31,47,84
S01010165,490,272,122,0,22,33,41
S01010166,606,250,215,0,28,48,65
S01010167,692,263,228,0,31,81,89
S01010168,397,191,110,2,24,34,36
S01010169,666,339,186,0,34,60,47
S01010170,435,216,119,0,20,46,34
S01010171,783,431,156,1,54,71,70
S01010172,624,276,131,0,41,79,97
S01010173,639,250,252,0,15,46,76
S01010174,1309,864,256,3,34,87,65
S01010175,384,156,133,0,25,41,29
S01010176,590,226,186,0,27,65,86
S01010177,571,299,154,1,20,45,52
S01010178,739,392,176,4,37,71,59
S01010179,690,338,198,0,52,45,57
S01010180,399,189,159,0,18,16,17
S01010181,489,207,146,1,33,52,50
S01010182,580,198,295,0,19,32,36
S01010183,391,154,124,4,21,29,59
S01010184,517,246,141,0,25,49,56
S01010185,487,238,141,0,27,41,40
S01010186,523,173,283,0,24,20,23
S01010187,548,210,246,2,29,37,24
S01010188,610,220,271,2,22,42,53
S01010189,739,226,437,2,21,36,17
S01010190,581,176,339,0,23,31,12
S01010191,531,175,276,3,24,40,13
S01010192,631,189,385,0,18,28,11
S01010193,685,264,278,6,33,47,57
S01010194,548,221,192,0,23,31,81
S01010195,431,168,178,0,20,25,40
S01010196,634,263,221,0,24,47,79
S01010197,548,270,149,0,29,48,52
S01010198,850,371,270,0,38,71,100
S01010199,412,196,116,0,25,39,36
S01010200,580,217,217,2,20,53,71
S01010201,511,174,239,2,19,35,42
S01010202,535,309,95,0,47,53,31
S01010203,517,193,258,0,19,35,12
S01010204,628,327,135,1,39,65,61
S01010205,568,266,168,4,22,47,61
S01010206,341,185,111,3,16,18,8
S01010207,476,215,165,0,35,38,23
S01010208,794,398,185,0,40,108,63
S01010209,820,369,228,0,39,68,116
S01010210,753,296,288,0,25,59,85
S01010211,713,337,194,0,30,71,81
S01010212,877,430,196,3,56,114,78
S01010213,796,313,262,4,29,72,116
S01010214,800,277,370,0,25,63,65
S01010215,705,297,144,3,36,112,113
S01010216,528,265,112,0,35,66,50
S01010217,622,395,111,4,28,59,25
S01010218,839,481,171,0,48,91,48
S01010219,400,200,107,0,31,34,28
S01010220,434,266,124,2,11,24,7
S01010221,470,252,80,2,10,48,78
S01010222,437,245,102,0,23,38,29
S01010223,495,238,106,0,32,75,44
S01010224,799,405,185,0,57,68,84
S01010225,664,334,185,0,38,62,45
S01010226,589,240,227,0,36,56,30
S01010227,466,230,175,2,18,31,10
S01010228,615,263,167,2,23,55,105
S01010229,827,404,254,0,47,61,61
S01010230,834,401,226,0,43,90,74
S01010231,782,389,193,0,45,69,86
S01010232,805,418,249,0,38,69,31
S01010233,738,371,216,4,23,67,57
S01010234,868,529,201,2,29,51,56
S01010235,837,599,132,0,10,26,70
S01010236,652,388,163,4,16,53,28
S01010237,575,353,146,2,9,35,30
S01010238,744,460,183,4,20,40,37
S01010239,674,374,113,2,40,78,67
S01010240,616,349,137,0,21,79,30
S01010241,936,521,187,0,39,95,94
S01010242,656,408,111,6,32,81,18
S01010243,848,581,127,1,37,77,25
S01010244,633,360,109,2,36,77,49
S01010245,784,456,142,0,43,85,58
S01010246,678,389,129,1,32,80,47
S01010247,647,243,268,0,28,43,65
S01010248,778,523,143,6,15,45,46
S01010249,634,445,109,3,15,30,32
S01010250,700,501,123,3,14,33,26
S01010251,566,397,117,5,17,17,13
S01010252,543,330,141,4,15,30,23
S01010253,527,296,93,0,32,64,42
S01010254,933,487,218,1,51,88,88
S01010255,558,308,119,0,34,49,48
S01010256,721,422,115,0,34,96,54
S01010257,793,615,72,0,36,55,15
S01010258,1469,1343,91,2,9,20,4
S01010259,1163,857,126,2,30,90,58
S01010260,1827,1568,131,2,29,63,34
S01010261,2469,2091,178,0,32,83,85
S01010262,811,387,177,1,36,113,97
S01010263,721,577,91,2,19,27,5
S01010264,815,613,101,8,27,51,15
S01010265,1019,830,118,8,16,43,4
S01010266,490,367,85,0,11,14,13
S01010267,583,489,67,0,4,18,5
S01010268,773,562,148,6,13,22,22
S01010269,506,375,83,0,12,25,11
S01010270,1122,586,184,1,59,160,132
S01010271,722,531,112,9,15,31,24
S01010272,928,616,123,1,40,116,32
S01010273,643,520,76,2,21,21,3
S01010274,552,431,78,2,6,27,8
S01010275,579,469,72,2,9,18,9
S01010276,926,579,216,14,44,67,6
S01010277,521,248,164,2,15,41,51
S01010278,508,275,130,0,27,39,37
S01010279,537,347,111,2,10,43,24
S01010280,730,541,126,1,12,37,13
S01010281,731,510,162,4,16,27,12
S01010282,902,619,147,0,14,74,48
S01010283,496,379,80,2,9,18,8
S01010284,1354,1119,140,0,23,60,12
S01010285,736,520,134,4,14,44,20
S01010286,1455,1257,140,0,12,33,13
S01010287,827,656,116,5,8,29,13
S01010288,754,563,131,3,17,28,12
S01010289,689,374,227,22,14,46,6
S01010290,493,328,110,2,8,31,14
S01010291,997,747,149,3,15,44,39
S01010292,844,623,162,6,12,25,16
S01010293,756,580,117,0,10,25,24
S01010294,643,502,103,0,7,13,18
S01010295,892,707,139,0,8,19,19
S01010296,575,393,123,2,11,27,19
S01010297,989,579,203,0,42,73,92
S01010298,820,446,158,0,41,80,95
S01010299,456,213,123,0,11,49,60
S01010300,837,513,155,4,24,69,72
S01010301,466,321,109,0,10,21,5
S01010302,557,317,107,2,31,52,48
S01010303,398,189,126,1,26,36,20
S01010304,481,311,83,2,17,42,26
S01010305,766,459,153,4,17,63,70
S01010306,692,516,97,2,19,43,15
S01010307,754,528,161,0,13,33,19
S01010308,876,633,153,4,20,47,19
S01010309,388,172,114,0,10,49,43
S01010310,556,313,154,0,25,41,23
S01010311,582,301,144,0,32,55,50
S01010312,676,366,129,2,43,92,44
S01010313,548,324,111,2,27,51,33
S01010314,1112,700,181,0,47,115,69
S01010315,703,369,199,2,41,57,35
S01010316,422,293,48,2,19,52,8
S01010317,690,494,120,5,11,31,29
S01010318,1513,1362,55,0,21,55,20
S01010319,647,378,154,4,28,45,38
S01010320,624,430,74,0,35,51,34
S01010321,784,462,107,0,29,63,123
S01010322,952,605,240,2,26,49,30
S01010323,512,287,69,2,30,67,57
S01010324,663,267,199,2,39,62,94
S01010325,824,306,275,3,33,73,134
S01010326,742,403,139,2,43,88,67
S01010327,770,327,243,0,42,52,106
S01010328,811,324,320,0,31,57,79
S01010329,495,200,166,0,26,45,58
S01010330,506,254,127,0,34,46,45
S01010331,776,336,208,0,36,92,104
S01010332,578,270,182,1,27,47,51
S01010333,793,368,215,2,56,60,92
S01010334,736,316,271,0,38,48,63
S01010335,695,290,217,0,29,49,110
S01010336,502,301,74,0,24,60,43
S01010337,529,224,183,0,24,45,53
S01010338,570,291,145,0,40,45,49
S01010339,552,219,204,0,28,40,61
S01010340,595,290,181,0,38,45,41
S01010341,468,163,196,1,23,39,46
S01010342,532,208,225,0,31,38,30
S01010343,757,290,366,2,24,52,23
S01010344,584,312,106,2,41,73,50
S01010345,350,123,180,6,13,16,12
S01010346,876,305,400,2,25,70,74
S01010347,939,577,196,2,41,73,50
S01010348,806,308,305,4,39,56,94
S01010349,745,283,255,0,29,80,98
S01010350,729,351,186,1,28,86,77
S01010351,691,362,182,4,43,46,54
S01010352,454,201,129,3,27,38,56
S01010353,764,389,162,0,44,104,65
S01010354,613,324,149,2,31,53,54
S01010355,621,323,148,0,40,63,47
S01010356,549,284,171,0,25,47,22
S01010357,503,269,117,2,32,56,27
S01010358,714,350,126,1,35,109,93
S01010359,648,315,125,0,28,75,105
S01010360,445,233,102,2,20,60,28
S01010361,518,299,70,2,30,77,40
S01010362,742,426,120,0,54,89,53
S01010363,655,314,217,2,23,62,37
S01010364,762,252,425,0,8,29,48
S01010365,869,327,379,4,22,65,72
S01010366,909,409,377,2,19,59,43
S01010367,1488,917,418,8,24,66,55
S01010368,639,239,254,8,18,49,71
S01010369,672,404,174,0,20,58,16
S01010370,630,367,180,6,23,37,17
S01010371,908,572,249,0,15,42,30
S01010372,454,239,156,2,11,36,10
S01010373,687,417,172,2,19,49,28
S01010374,830,481,240,6,18,56,29
S01010375,501,422,46,2,5,14,12
S01010376,667,519,107,4,15,19,3
S01010377,857,665,137,0,20,26,9
S01010378,689,583,72,2,4,24,4
S01010379,1076,843,137,4,19,53,20
S01010380,889,590,207,6,17,42,27
S01010381,569,453,61,0,14,32,9
S01010382,793,580,137,4,19,31,22
S01010383,595,401,88,0,19,64,23
S01010384,770,544,135,2,12,50,27
S01010385,783,549,120,2,20,56,36
S01010386,822,523,135,0,22,83,59
S01010387,972,669,165,0,21,77,40
S01010388,925,546,195,2,25,96,61
S01010389,973,670,198,0,38,56,11
S01010390,1002,724,142,3,27,81,25
S01010391,737,517,114,0,24,60,22
S01010392,634,339,194,4,44,42,11
S01010393,951,642,171,2,17,59,60
S01010394,731,398,129,2,40,95,67
S01010395,917,540,194,2,31,95,55
S01010396,945,540,218,8,13,97,69
S01010397,500,322,107,0,12,42,17
S01010398,1000,572,256,6,18,78,70
S01010399,979,629,246,3,23,53,25
S01010400,949,472,335,2,23,69,48
S01010401,669,358,181,2,18,52,58
S01010402,921,468,337,4,17,60,35
S01010403,930,412,360,2,24,62,70
S01010404,691,287,278,0,22,60,44
S01010405,689,326,262,16,11,50,24
S01010406,758,487,178,4,14,56,19
S01010407,844,657,127,2,5,32,21
S01010408,436,145,187,0,16,47,41
S01010409,541,139,333,0,14,22,33
S01010410,470,140,261,0,15,30,24
S01010411,798,184,534,1,15,27,37
S01010412,762,381,241,8,33,48,51
S01010413,612,165,335,4,16,30,62
S01010414,872,301,410,2,18,67,74
S01010415,886,387,285,0,38,89,87
S01010416,586,190,308,4,12,35,37
S01010417,488,212,201,4,7,27,37
S01010418,937,511,311,2,24,57,32
S01010419,836,355,349,10,20,53,49
S01010420,578,177,286,1,9,27,78
S01010421,704,207,407,1,17,32,40
S01010422,895,296,430,0,27,52,90
S01010423,702,395,129,4,42,86,46
S01010424,707,375,146,2,37,78,69
S01010425,875,488,183,0,39,107,58
S01010426,603,334,145,2,31,66,25
S01010427,802,349,246,0,41,77,89
S01010428,577,179,296,2,13,39,48
S01010429,772,259,419,4,17,32,41
S01010430,698,354,192,4,20,77,51
S01010431,549,153,334,0,14,20,28
S01010432,727,395,166,0,50,82,34
S01010433,546,287,166,0,30,50,13
S01010434,493,289,96,0,26,47,35
S01010435,528,180,207,0,22,59,60
S01010436,660,369,138,2,30,75,46
S01010437,467,187,180,2,19,37,42
S01010438,610,306,192,2,29,53,28
S01010439,798,498,147,0,42,73,38
S01010440,534,247,167,0,23,52,45
S01010441,694,439,142,2,42,57,12
S01010442,595,339,135,1,32,68,20
S01010443,436,158,179,0,17,40,42
S01010444,558,207,215,2,21,43,70
S01010445,785,263,277,0,27,61,157
S01010446,700,214,354,0,29,42,61
S01010447,816,340,247,0,54,103,72
S01010448,710,245,314,0,27,57,67
S01010449,654,232,264,6,18,57,77
S01010450,691,285,242,0,25,64,75
S01010451,703,308,220,3,27,69,76
S01010452,701,237,260,2,35,56,111
S01010453,539,304,125,1,36,49,24
S01010454,734,260,272,0,24,54,124
S01010455,833,331,196,0,50,118,138
S01010456,487,160,187,0,19,47,74
S01010457,535,226,175,0,18,53,63
S01010458,650,249,217,6,24,66,88
S01010459,474,188,162,0,16,39,69
S01010460,592,207,271,0,17,43,54
S01010461,616,253,199,1,21,67,75
S01010462,626,324,145,3,54,67,33
S01010463,665,233,278,0,18,50,86
S01010464,448,155,181,2,18,31,61
S01010465,798,337,334,5,24,65,33
S01010466,780,413,256,6,21,63,21
S01010467,786,289,306,2,11,60,118
S01010468,783,349,313,6,14,44,57
S01010469,520,304,95,2,19,71,29
S01010470,674,253,229,0,29,52,111
S01010471,536,207,197,0,16,42,74
S01010472,462,276,115,4,11,38,18
S01010473,668,364,197,0,18,53,36
S01010474,714,475,138,0,13,41,47
S01010475,591,315,189,1,15,42,29
S01010476,928,364,293,4,28,81,158
S01010477,628,247,228,3,26,49,75
S01010478,864,446,196,2,39,103,78
S01010479,839,337,307,4,31,77,83
S01010480,505,153,215,0,30,48,59
S01010481,476,245,134,0,20,40,37
S01010482,655,224,251,0,30,58,92
S01010483,858,330,302,0,35,87,104
S01010484,460,193,155,0,21,44,47
S01010485,794,264,371,4,32,38,85
S01010486,784,229,441,2,18,35,59
S01010487,815,260,351,2,27,55,120
S01010488,583,321,139,0,36,48,39
S01010489,877,370,225,2,39,96,145
S01010490,526,322,119,0,23,34,28
S01010491,633,354,141,0,30,77,31
S01010492,425,217,87,2,27,53,39
S01010493,487,296,95,0,28,41,27
S01010494,467,221,174,0,10,42,20
S01010495,644,366,115,0,42,89,32
S01010496,651,338,143,0,38,65,67
S01010497,552,286,168,2,24,51,21
S01010498,642,343,156,0,31,66,46
S01010499,692,365,119,2,33,80,93
S01010500,747,397,204,7,42,60,37
S01010501,728,338,222,1,38,66,63
S01010502,612,273,216,1,33,65,24
S01010503,547,258,135,0,26,60,68
S01010504,433,101,237,0,19,42,34
S01010505,453,143,228,2,14,35,31
S01010506,690,198,369,0,15,55,53
S01010507,649,228,300,0,19,51,51
S01010508,820,221,414,0,18,90,77
S01010509,793,236,445,0,15,54,43
S01010510,696,163,370,1,14,47,101
S01010511,669,222,282,1,21,85,58
S01010512,501,143,235,0,9,48,66
S01010513,618,149,365,6,8,51,39
S01010514,558,174,259,2,22,45,56
S01010515,662,197,313,2,25,61,64
S01010516,515,158,259,2,20,40,36
S01010517,685,279,287,0,18,59,42
S01010518,543,215,238,0,16,42,32
S01010519,568,182,287,0,15,58,26
S01010520,755,237,352,0,23,61,82
S01010521,608,221,260,2,18,60,47
S01010522,514,208,186,3,15,50,52
S01010523,457,193,174,0,18,47,25
S01010524,462,116,284,0,4,34,24
S01010525,545,131,337,0,8,36,33
S01010526,675,212,316,0,15,61,71
S01010527,742,216,297,5,35,95,94
S01010528,503,138,290,0,6,35,34
S01010529,584,152,344,0,9,39,40
S01010530,547,119,327,0,13,41,47
S01010531,930,236,496,4,20,78,96
S01010532,462,118,270,0,12,28,34
S01010533,518,142,259,0,14,37,66
S01010534,706,191,370,0,27,65,53
S01010535,572,141,330,1,22,50,28
S01010536,703,243,289,3,22,77,69
S01010537,672,301,233,0,20,67,51
S01010538,600,232,273,0,20,59,16
S01010539,962,400,390,1,27,89,55
S01010540,540,153,283,0,21,41,42
S01010541,706,188,410,2,17,56,33
S01010542,755,196,424,0,21,61,53
S01010543,508,136,298,2,14,28,30
S01010544,692,190,355,3,27,54,63
S01010545,586,158,292,0,30,40,66
S01010546,710,191,320,0,16,68,115
S01010547,622,172,348,0,16,48,38
S01010548,574,109,357,0,7,50,51
S01010549,710,150,470,2,12,46,30
S01010550,447,140,221,0,13,35,38
S01010551,511,115,321,0,12,40,23
S01010552,630,145,372,2,16,48,47
S01010553,514,118,311,0,21,44,20
S01010554,637,191,250,0,24,101,71
S01010555,771,291,293,6,28,99,54
S01010556,810,285,289,1,33,82,120
S01010557,510,142,251,0,25,39,53
S01010558,669,170,352,0,23,57,67
S01010559,674,117,388,0,7,45,117
S01010560,564,125,332,0,17,40,50
S01010561,604,128,364,2,5,31,74
S01010562,623,159,355,0,15,38,56
S01010563,415,139,170,0,13,55,38
S01010564,442,153,163,0,8,70,48
S01010565,543,162,276,0,9,44,52
S01010566,876,225,501,0,28,60,62
S01010567,885,226,524,1,17,58,59
S01010568,789,229,431,0,28,68,33
S01010569,722,267,340,3,22,60,30
S01010570,860,293,361,0,41,91,74
S01010571,655,248,256,2,23,83,43
S01010572,613,275,200,0,27,82,29
S01010573,426,152,198,0,18,30,28
S01010574,473,102,306,0,5,33,27
S01010575,577,107,383,0,9,35,43
S01010576,680,152,429,0,13,36,50
S01010577,691,262,260,0,27,102,40
S01010578,461,172,210,2,14,48,15
S01010579,631,189,334,0,19,43,46
S01010580,464,207,172,2,13,47,23
S01010581,423,143,212,1,15,38,14
S01010582,410,126,212,0,8,23,41
S01010583,810,207,463,0,21,64,55
S01010584,596,202,315,0,16,45,18
S01010585,599,232,291,0,16,47,13
S01010586,621,129,400,0,17,42,33
S01010587,588,147,359,0,11,33,38
S01010588,509,140,290,2,9,38,30
S01010589,504,195,198,0,18,71,22
S01010590,627,112,454,0,11,32,18
S01010591,540,201,273,0,20,40,6
S01010592,429,184,172,0,16,37,20
S01010593,512,115,322,0,10,35,30
S01010594,508,201,225,0,17,45,20
S01010595,561,206,276,0,16,52,11
S01010596,628,179,373,0,15,41,20
S01010597,485,218,193,0,27,38,9
S01010598,740,284,361,0,25,57,13
S01010599,474,133,294,0,11,22,14
S01010600,808,212,458,0,18,61,59
S01010601,603,122,358,0,12,41,70
S01010602,449,167,204,0,12,39,27
S01010603,697,203,384,0,11,40,59
S01010604,393,95,249,0,5,25,19
S01010605,765,194,458,0,10,34,69
S01010606,659,221,281,0,20,78,59
S01010607,695,194,395,0,13,43,50
S01010608,503,224,139,0,29,74,37
S01010609,452,191,159,0,14,54,34
S01010610,616,186,302,4,11,46,67
S01010611,779,315,278,0,26,90,70
S01010612,620,179,346,0,16,46,33
