,All people aged 16 and over in households,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
S01009974,468,104,62,184,4,20,55,39
S01009975,629,128,50,279,1,33,64,74
S01009976,385,84,52,151,1,20,42,35
S01009977,813,148,66,310,10,59,127,93
S01009978,773,198,96,336,4,38,61,40
S01009979,413,110,30,147,2,22,61,41
S01009980,463,110,38,211,3,17,38,46
S01009981,532,130,62,225,1,18,62,34
S01009982,767,238,98,296,3,52,52,28
S01009983,426,64,36,216,5,33,41,31
S01009984,574,174,98,191,5,27,46,33
S01009985,463,90,74,216,4,21,40,18
S01009986,446,106,34,189,2,21,53,41
S01009987,747,224,64,221,7,43,67,121
S01009988,447,100,44,164,5,25,54,55
S01009989,665,226,79,234,5,22,36,63
S01009990,553,214,68,187,5,18,28,33
S01009991,625,234,84,215,6,31,32,23
S01009992,573,142,58,221,5,22,59,66
S01009993,659,264,106,177,0,35,47,30
S01009994,532,212,74,172,1,15,32,26
S01009995,535,204,76,176,2,18,37,22
S01009996,572,226,60,185,3,33,26,39
S01009997,470,182,70,151,3,9,35,20
S01009998,524,284,28,141,2,10,8,51
S01009999,597,328,26,160,10,16,24,33
S01010000,491,200,68,152,1,19,30,21
S01010001,617,270,72,183,3,14,39,36
S01010002,644,272,62,201,7,24,35,43
S01010003,571,314,44,151,2,13,20,27
S01010004,617,350,36,170,5,5,10,41
S01010005,682,132,98,315,3,27,55,52
S01010006,810,164,108,369,8,29,60,72
S01010007,805,390,74,232,6,15,33,55
S01010008,567,108,90,262,6,27,44,30
S01010009,527,74,90,283,1,23,40,16
S01010010,858,452,74,220,10,16,40,46
S01010011,703,124,116,286,4,30,71,72
S01010012,685,329,50,185,9,19,26,67
S01010013,698,214,100,274,4,23,60,23
S01010014,874,310,142,274,15,33,61,39
S01010015,686,182,174,253,13,19,24,21
S01010016,610,234,46,186,10,19,36,79
S01010017,606,152,44,260,2,24,63,61
S01010018,798,212,112,243,11,36,77,107
S01010019,586,104,48,274,3,28,76,53
S01010020,627,196,50,225,3,38,41,74
S01010021,624,140,32,297,18,31,70,36
S01010022,773,192,106,337,7,25,62,44
S01010023,536,78,59,212,1,34,66,86
S01010024,609,120,77,277,9,30,59,37
S01010025,457,80,44,214,10,23,52,34
S01010026,758,154,110,342,11,33,74,34
S01010027,761,138,92,390,9,26,54,52
S01010028,547,112,58,220,5,29,57,66
S01010029,574,130,44,216,4,36,57,87
S01010030,704,168,134,292,13,23,44,30
S01010031,666,102,104,401,15,17,21,6
S01010032,482,66,114,270,16,2,12,2
S01010033,751,204,78,320,18,22,56,53
S01010034,736,146,84,287,15,30,76,98
S01010035,572,88,74,274,15,38,52,31
S01010036,767,86,88,552,21,5,14,1
S01010037,565,158,48,200,3,28,51,77
S01010038,867,184,104,369,14,35,78,83
S01010039,912,112,170,561,6,15,33,15
S01010040,650,158,114,272,18,22,48,18
S01010041,626,78,104,343,17,18,46,20
S01010042,974,158,194,489,15,35,64,19
S01010043,656,116,82,301,5,39,72,41
S01010044,956,230,146,373,13,40,76,78
S01010045,418,78,34,178,5,38,37,48
S01010046,647,138,80,287,5,21,63,53
S01010047,694,134,60,285,6,51,90,68
S01010048,808,182,66,331,13,46,80,90
S01010049,604,112,44,271,11,35,69,62
S01010050,793,130,89,375,4,42,89,64
S01010051,606,110,34,257,15,29,79,82
S01010052,534,90,60,246,7,34,59,38
S01010053,700,160,94,282,17,25,75,47
S01010054,411,88,40,200,3,22,38,20
S01010055,783,202,92,323,12,32,66,56
S01010056,360,76,48,159,3,20,33,21
S01010057,334,72,46,149,1,10,23,33
S01010058,613,124,80,284,9,28,59,29
S01010059,533,102,104,230,7,23,36,31
S01010060,761,170,100,328,7,28,72,56
S01010061,419,116,96,144,7,12,23,21
S01010062,594,192,64,217,5,25,40,51
S01010063,795,140,106,349,10,45,92,53
S01010064,434,136,66,140,7,23,28,34
S01010065,709,200,48,285,9,31,57,79
S01010066,608,150,66,262,4,33,41,52
S01010067,468,74,58,224,3,25,41,43
S01010068,524,134,96,189,11,18,31,45
S01010069,687,354,68,185,5,17,20,38
S01010070,556,296,44,163,4,17,15,17
S01010071,667,268,62,195,8,24,33,77
S01010072,693,318,42,210,5,20,33,65
S01010073,671,358,44,149,2,13,22,83
S01010074,628,332,44,164,4,19,21,44
S01010075,541,242,50,130,2,18,32,67
S01010076,553,230,64,176,2,18,24,39
S01010077,511,170,32,178,3,16,53,59
S01010078,510,296,38,116,2,10,25,23
S01010079,793,492,48,186,3,12,14,38
S01010080,577,342,36,116,5,5,15,58
S01010081,617,346,30,151,6,17,17,50
S01010082,736,316,88,197,7,25,37,66
S01010083,609,218,52,188,17,21,46,67
S01010084,750,258,60,242,7,31,63,89
S01010085,657,376,38,154,2,22,11,54
S01010086,778,254,66,264,4,30,55,105
S01010087,506,328,10,91,4,6,10,57
S01010088,608,354,72,135,7,14,17,9
S01010089,618,216,68,190,12,23,39,70
S01010090,842,378,100,241,7,30,38,48
S01010091,674,326,106,177,4,21,25,15
S01010092,797,310,56,247,17,34,55,78
S01010093,731,302,92,212,1,21,48,55
S01010094,564,280,22,144,7,23,20,68
S01010095,594,354,28,143,0,7,24,38
S01010096,617,304,68,164,4,16,24,37
S01010097,599,308,36,167,7,14,18,49
S01010098,600,342,46,141,1,11,17,42
S01010099,592,316,34,143,5,8,24,62
S01010100,766,398,46,212,4,18,26,62
S01010101,619,342,44,141,4,14,25,49
S01010102,749,410,62,217,2,20,27,11
S01010103,774,378,96,211,7,25,27,30
S01010104,554,266,84,144,4,17,22,17
S01010105,313,64,50,148,2,20,23,6
S01010106,357,94,34,141,3,15,28,42
S01010107,647,154,74,279,6,26,60,48
S01010108,623,222,54,186,5,21,51,84
S01010109,581,158,108,235,4,24,33,19
S01010110,684,196,62,231,4,30,68,93
S01010111,754,174,86,327,2,33,81,51
S01010112,728,130,102,343,4,37,66,46
S01010113,395,112,58,164,3,13,24,21
S01010114,614,156,62,265,3,35,48,45
S01010115,486,210,56,164,4,18,19,15
S01010116,794,318,134,267,5,20,26,24
S01010117,502,214,84,147,2,20,20,15
S01010118,478,70,58,234,1,25,56,34
S01010119,389,100,58,169,3,20,27,12
S01010120,772,170,66,379,1,36,73,47
S01010121,532,116,66,235,3,20,54,38
S01010122,341,76,38,143,1,23,38,22
S01010123,535,120,70,242,6,17,47,33
S01010124,506,144,86,189,3,27,38,19
S01010125,402,122,50,161,5,21,27,16
S01010126,593,240,62,186,4,30,27,44
S01010127,526,168,28,186,4,20,57,63
S01010128,343,52,50,173,1,24,32,11
S01010129,550,116,60,257,5,28,47,37
S01010130,341,120,26,103,1,19,30,42
S01010131,774,440,44,173,3,14,26,74
S01010132,809,224,74,287,6,48,77,93
S01010133,607,158,60,208,3,26,74,78
S01010134,840,238,84,280,9,41,74,114
S01010135,639,202,66,213,11,28,33,86
S01010136,679,268,72,214,7,12,42,64
S01010137,849,200,84,291,9,38,82,145
S01010138,841,150,46,341,13,64,142,85
S01010139,897,252,88,329,6,40,75,107
S01010140,596,158,124,222,5,29,36,22
S01010141,662,122,70,285,4,28,81,72
S01010142,491,140,50,193,8,23,43,34
S01010143,632,216,48,184,5,29,57,93
S01010144,575,130,84,231,9,33,60,28
S01010145,650,206,82,213,3,32,53,61
S01010146,627,122,80,284,6,33,65,37
S01010147,746,120,98,369,5,56,59,39
S01010148,601,148,59,272,3,25,51,43
S01010149,396,124,104,118,2,12,23,13
S01010150,532,160,50,182,4,16,37,83
S01010151,550,166,42,166,10,13,58,95
S01010152,736,270,80,237,6,19,45,79
S01010153,792,246,66,246,11,30,78,115
S01010154,732,236,50,240,6,23,58,119
S01010155,620,228,36,188,6,16,44,102
S01010156,477,148,40,156,4,26,40,63
S01010157,487,144,28,186,3,25,40,61
S01010158,790,270,68,248,7,29,57,111
S01010159,616,222,48,202,8,15,46,75
S01010160,473,124,78,176,6,22,49,18
S01010161,484,166,70,179,4,11,31,23
S01010162,562,72,54,283,6,27,74,46
S01010163,465,146,48,195,5,13,35,23
S01010164,578,192,58,219,5,24,32,48
S01010165,490,116,40,244,1,22,27,40
S01010166,606,210,48,212,1,28,42,65
S01010167,692,224,46,226,1,29,77,89
S01010168,397,110,66,143,0,21,21,36
S01010169,618,168,106,232,7,28,49,28
S01010170,435,112,52,179,3,16,39,34
S01010171,783,142,86,364,6,50,67,68
S01010172,624,124,70,224,3,38,71,94
S01010173,639,236,50,209,14,13,41,76
S01010174,485,204,36,153,4,14,22,52
S01010175,384,128,40,131,4,23,29,29
S01010176,590,178,50,192,6,20,60,84
S01010177,571,140,54,257,9,20,41,50
S01010178,739,174,78,336,2,32,59,58
S01010179,690,190,58,285,10,47,43,57
S01010180,399,154,70,129,5,15,12,14
S01010181,489,138,32,184,8,31,46,50
S01010182,580,290,66,146,6,14,24,34
S01010183,391,124,24,137,4,18,26,58
S01010184,511,134,32,220,3,23,44,55
S01010185,487,130,52,199,7,23,36,40
S01010186,523,270,44,142,10,21,16,20
S01010187,548,248,56,164,2,24,31,23
S01010188,577,262,68,159,7,17,32,32
S01010189,739,428,80,177,5,14,19,16
S01010190,581,330,72,131,6,18,14,10
S01010191,531,280,58,135,1,18,26,13
S01010192,631,368,66,141,9,17,19,11
S01010193,616,278,69,177,6,26,30,30
S01010194,548,176,32,201,14,22,22,81
S01010195,431,164,32,146,8,18,23,40
S01010196,592,214,38,225,3,19,38,55
S01010197,548,146,58,232,3,26,32,51
S01010198,772,256,64,271,6,33,55,87
S01010199,412,112,30,169,6,23,36,36
S01010200,580,210,48,184,7,17,43,71
S01010201,511,232,56,138,7,18,21,39
S01010202,535,82,74,255,8,44,43,29
S01010203,517,246,78,136,9,19,18,11
S01010204,628,124,66,285,10,32,52,59
S01010205,568,148,70,208,22,21,40,59
S01010206,341,66,32,158,45,14,18,8
S01010207,476,136,22,198,28,34,36,22
S01010208,794,180,97,316,4,38,97,62
S01010209,737,198,88,280,12,34,52,73
S01010210,753,282,80,244,4,21,39,83
S01010211,713,194,70,274,1,28,66,80
S01010212,824,164,80,376,23,44,86,51
S01010213,796,248,102,237,12,26,58,113
S01010214,800,356,74,235,9,20,42,64
S01010215,697,130,56,250,13,35,102,111
S01010216,528,100,58,226,8,33,56,47
S01010217,622,92,88,322,17,24,54,25
S01010218,839,162,134,370,5,42,78,48
S01010219,400,78,28,182,28,25,32,27
S01010220,434,110,92,186,14,8,17,7
S01010221,389,60,34,191,8,9,40,47
S01010222,437,98,74,184,2,18,32,29
S01010223,492,100,54,199,3,28,64,44
S01010224,752,158,66,339,14,54,60,61
S01010225,664,168,66,280,17,32,56,45
S01010226,589,174,26,222,50,32,55,30
S01010227,466,142,40,195,35,16,28,10
S01010228,562,146,52,221,9,19,49,66
S01010229,827,248,74,346,7,41,50,61
S01010230,834,176,66,356,45,40,78,73
S01010231,782,172,60,337,20,44,63,86
S01010232,805,208,72,365,29,37,64,30
S01010233,738,182,78,315,30,19,58,56
S01010234,868,190,104,435,8,28,47,56
S01010235,735,108,138,442,17,9,18,3
S01010236,642,158,104,286,7,14,45,28
S01010237,575,136,92,265,11,8,33,30
S01010238,744,178,120,348,7,19,36,36
S01010239,674,106,76,311,5,36,73,67
S01010240,616,132,108,260,5,16,65,30
S01010241,897,178,138,395,6,32,79,69
S01010242,656,110,86,333,5,28,76,18
S01010243,848,122,120,474,6,35,66,25
S01010244,633,94,62,321,9,34,64,49
S01010245,784,134,68,401,8,41,75,57
S01010246,678,118,66,337,9,31,70,47
S01010247,647,260,66,195,9,25,28,64
S01010248,778,142,166,366,7,13,38,46
S01010249,634,108,104,349,3,12,28,30
S01010250,700,120,146,363,3,14,28,26
S01010251,566,116,110,296,4,16,12,12
S01010252,531,132,104,223,11,12,26,23
S01010253,527,82,62,244,7,31,59,42
S01010254,933,208,126,383,9,47,73,87
S01010255,558,110,74,246,8,32,41,47
S01010256,721,106,88,354,3,33,83,54
S01010257,756,50,92,503,21,28,47,15
S01010258,712,66,84,528,11,8,12,3
S01010259,663,100,54,323,21,30,80,55
S01010260,966,118,174,552,11,22,57,32
S01010261,827,140,66,423,12,27,75,84
S01010262,810,162,40,365,11,33,104,95
S01010263,632,70,136,374,8,17,22,5
S01010264,754,90,114,461,12,21,43,13
S01010265,841,102,170,497,21,12,35,4
S01010266,456,76,58,277,9,11,14,11
S01010267,581,43,56,434,24,4,16,4
S01010268,670,142,60,405,12,10,19,22
S01010269,500,72,56,320,10,9,23,10
S01010270,1069,164,62,513,16,50,137,127
S01010271,675,104,66,433,14,12,25,21
S01010272,928,102,120,516,21,36,102,31
S01010273,639,58,138,386,20,17,17,3
S01010274,528,70,98,319,10,3,21,7
S01010275,571,62,110,360,12,7,12,8
S01010276,926,196,142,454,32,37,61,4
S01010277,521,154,50,207,12,14,35,49
S01010278,508,116,36,241,12,27,39,37
S01010279,537,98,46,306,14,10,39,24
S01010280,729,112,96,454,12,11,31,13
S01010281,731,142,116,405,21,15,20,12
S01010282,902,126,134,496,21,12,68,45
S01010283,496,74,72,309,8,9,16,8
S01010284,951,124,204,540,4,21,48,10
S01010285,736,126,80,450,10,12,38,20
S01010286,670,114,94,400,15,9,27,11
S01010287,826,106,128,536,16,6,23,11
S01010288,752,130,120,453,3,14,20,12
S01010289,635,234,116,226,15,11,27,6
S01010290,493,96,56,281,16,7,23,14
S01010291,925,126,84,597,23,13,43,39
S01010292,844,144,68,562,24,12,20,14
S01010293,756,106,72,510,11,10,23,24
S01010294,643,78,48,461,19,6,13,18
S01010295,892,114,112,600,23,8,18,17
S01010296,575,106,52,350,15,10,24,18
S01010297,989,184,118,481,17,37,63,89
S01010298,783,142,96,358,15,31,68,73
S01010299,456,110,26,191,13,11,46,59
S01010300,792,144,70,440,13,22,56,47
S01010301,460,92,62,263,13,8,17,5
S01010302,546,100,48,270,9,24,49,46
S01010303,398,120,36,158,10,21,33,20
S01010304,481,74,46,271,9,15,40,26
S01010305,756,146,112,348,12,14,55,69
S01010306,692,88,146,381,8,15,39,15
S01010307,754,150,154,386,9,13,24,18
S01010308,860,148,146,484,8,16,39,19
S01010309,388,104,36,149,8,10,40,41
S01010310,556,132,44,277,20,24,36,23
S01010311,575,132,48,261,12,26,47,49
S01010312,665,122,58,318,8,40,79,40
S01010313,530,108,54,264,5,21,47,31
S01010314,822,162,81,414,0,33,84,48
S01010315,703,190,102,291,8,36,42,34
S01010316,422,44,52,255,2,17,45,7
S01010317,690,118,148,355,5,10,25,29
S01010318,434,50,70,223,2,20,51,18
S01010319,647,136,106,294,15,25,36,35
S01010320,622,58,112,330,16,32,40,34
S01010321,642,80,112,333,3,27,49,38
S01010322,952,232,196,427,8,22,37,30
S01010323,512,64,36,259,7,30,60,56
S01010324,663,194,50,235,6,33,52,93
S01010325,824,264,74,254,7,31,62,132
S01010326,741,134,88,335,4,39,78,63
S01010327,655,224,76,250,1,37,35,32
S01010328,811,312,86,253,10,27,45,78
S01010329,495,160,58,160,3,20,39,55
S01010330,506,124,44,214,4,32,44,44
S01010331,776,194,54,298,12,32,82,104
S01010332,578,176,46,242,7,25,33,49
S01010333,793,206,102,300,5,49,44,87
S01010334,736,258,92,240,7,35,42,62
S01010335,657,196,66,239,8,27,39,82
S01010336,502,66,68,248,4,21,53,42
S01010337,529,180,48,188,1,20,40,52
S01010338,570,136,58,247,5,38,37,49
S01010339,552,196,50,185,5,24,31,61
S01010340,595,176,52,246,2,38,40,41
S01010341,468,186,46,139,8,19,27,43
S01010342,532,222,56,167,4,26,27,30
S01010343,757,362,90,221,6,19,37,22
S01010344,584,100,60,267,6,40,63,48
S01010345,350,182,34,102,3,9,9,11
S01010346,814,388,96,215,10,18,46,41
S01010347,733,182,88,302,8,38,65,50
S01010348,806,300,92,231,7,33,50,93
S01010349,745,250,76,231,2,26,63,97
S01010350,729,178,65,305,5,25,75,76
S01010351,691,170,106,287,7,38,33,50
S01010352,454,120,59,158,8,26,32,51
S01010353,764,138,89,319,19,39,95,65
S01010354,613,140,76,269,4,28,42,54
S01010355,621,138,66,269,8,38,56,46
S01010356,549,162,90,218,8,20,33,18
S01010357,503,112,46,235,8,28,47,27
S01010358,714,118,74,296,4,35,94,93
S01010359,648,112,46,277,15,26,71,101
S01010360,445,100,54,190,4,16,53,28
S01010361,518,60,46,268,8,27,70,39
S01010362,742,98,46,399,16,47,85,51
S01010363,655,214,84,250,5,18,47,37
S01010364,762,416,78,193,7,6,17,45
S01010365,832,368,100,243,8,18,45,50
S01010366,909,360,120,309,20,15,43,42
S01010367,875,372,109,254,16,19,53,52
S01010368,586,246,76,168,10,17,30,39
S01010369,672,170,116,294,3,20,54,15
S01010370,630,182,130,266,5,14,18,15
S01010371,891,238,138,439,6,11,29,30
S01010372,454,148,74,174,10,11,27,10
S01010373,687,166,106,324,8,14,41,28
S01010374,830,234,134,366,10,14,43,29
S01010375,501,40,44,380,6,5,14,12
S01010376,667,102,90,432,9,15,16,3
S01010377,779,114,82,522,14,16,22,9
S01010378,689,68,58,531,6,4,20,2
S01010379,946,126,96,638,13,15,38,20
S01010380,883,210,150,440,3,16,38,26
S01010381,569,54,118,340,7,12,29,9
S01010382,793,134,140,456,5,17,19,22
S01010383,595,84,78,331,6,15,58,23
S01010384,767,128,150,407,9,11,37,25
S01010385,783,118,168,390,4,16,52,35
S01010386,806,124,112,421,9,17,69,54
S01010387,972,148,162,539,11,17,57,38
S01010388,923,186,128,433,8,22,86,60
S01010389,973,152,212,477,45,36,41,10
S01010390,1002,134,240,498,11,25,69,25
S01010391,737,106,146,382,8,22,52,21
S01010392,634,168,136,222,30,39,30,9
S01010393,936,162,206,441,11,16,43,57
S01010394,731,120,78,333,9,37,88,66
S01010395,917,186,130,419,9,30,88,55
S01010396,945,210,164,402,11,11,78,69
S01010397,500,106,86,243,1,12,35,17
S01010398,962,246,202,382,13,13,60,46
S01010399,979,238,230,421,7,20,38,25
S01010400,949,314,151,352,20,19,47,46
S01010401,669,168,86,289,13,15,43,55
S01010402,921,332,174,323,8,12,38,34
S01010403,884,346,124,303,11,18,37,45
S01010404,688,266,102,211,9,18,42,40
S01010405,689,268,110,239,7,10,33,22
S01010406,750,172,140,357,7,13,45,16
S01010407,844,118,90,576,10,4,25,21
S01010408,436,184,32,122,3,13,41,41
S01010409,541,326,26,122,7,14,16,30
S01010410,470,254,30,128,3,10,21,24
S01010411,798,522,28,165,12,12,22,37
S01010412,676,204,112,247,25,28,33,27
S01010413,612,332,30,144,10,12,25,59
S01010414,872,396,84,241,13,15,49,74
S01010415,873,268,110,291,10,34,73,87
S01010416,586,308,56,147,3,10,26,36
S01010417,488,196,68,152,9,7,19,37
S01010418,921,306,192,323,9,15,44,32
S01010419,836,346,114,266,5,17,41,47
S01010420,578,280,36,149,4,8,23,78
S01010421,697,396,48,170,9,15,21,38
S01010422,892,428,76,232,2,23,42,89
S01010423,702,112,90,322,16,41,75,46
S01010424,707,140,90,305,7,34,66,65
S01010425,875,180,100,398,4,35,101,57
S01010426,603,140,114,236,4,28,56,25
S01010427,802,226,104,267,21,33,63,88
S01010428,575,292,38,144,6,13,34,48
S01010429,761,420,100,163,2,16,20,40
S01010430,698,172,74,300,22,20,60,50
S01010431,549,328,36,125,5,11,16,28
S01010432,727,160,89,319,6,48,71,34
S01010433,546,134,74,228,30,27,40,13
S01010434,493,90,58,241,5,22,43,34
S01010435,528,202,48,147,5,18,48,60
S01010436,660,126,98,293,9,27,62,45
S01010437,467,172,32,169,4,19,31,40
S01010438,610,188,66,255,8,20,45,28
S01010439,785,136,150,362,4,37,65,31
S01010440,534,164,62,198,3,17,46,44
S01010441,694,136,150,309,5,38,44,12
S01010442,595,128,84,267,8,28,60,20
S01010443,436,178,42,127,2,15,31,41
S01010444,558,214,42,182,2,17,34,67
S01010445,605,242,48,196,5,19,47,48
S01010446,700,346,44,188,4,25,32,61
S01010447,816,232,68,297,16,46,86,71
S01010448,710,308,70,199,3,24,41,65
S01010449,654,264,48,194,6,18,48,76
S01010450,691,234,48,239,8,25,62,75
S01010451,668,212,56,261,7,24,57,51
S01010452,701,258,50,200,9,27,48,109
S01010453,537,118,74,242,3,34,43,23
S01010454,672,252,70,193,7,21,38,91
S01010455,833,180,72,280,11,50,104,136
S01010456,487,180,40,130,6,17,40,74
S01010457,535,164,62,185,10,16,35,63
S01010458,650,216,46,216,5,22,57,88
S01010459,474,158,34,163,5,15,31,68
S01010460,592,260,64,155,10,16,34,53
S01010461,616,184,74,203,8,20,52,75
S01010462,626,100,56,285,46,46,61,32
S01010463,665,274,42,200,4,16,44,85
S01010464,448,182,38,124,3,16,24,61
S01010465,798,328,122,239,7,20,49,33
S01010466,780,254,132,309,6,18,41,20
S01010467,740,288,64,234,11,8,47,88
S01010468,783,298,82,280,19,14,34,56
S01010469,520,84,46,266,11,16,68,29
S01010470,612,210,63,197,4,23,39,76
S01010471,536,184,60,164,9,13,36,70
S01010472,455,116,92,186,3,10,31,17
S01010473,668,192,90,283,4,17,46,36
S01010474,714,130,86,395,6,13,37,47
S01010475,591,184,120,208,4,12,34,29
S01010476,895,282,89,286,7,27,71,133
S01010477,628,226,68,189,7,23,40,75
S01010478,864,186,116,352,8,35,92,75
S01010479,839,298,104,260,7,30,62,78
S01010480,503,216,38,129,2,22,37,59
S01010481,476,130,48,204,2,19,37,36
S01010482,655,244,62,185,8,24,41,91
S01010483,858,300,112,240,4,31,69,102
S01010484,460,152,44,171,1,18,27,47
S01010485,794,356,70,214,10,29,31,84
S01010486,784,440,70,178,5,14,19,58
S01010487,815,338,72,218,7,25,38,117
S01010488,583,134,90,248,4,33,37,37
S01010489,757,203,106,267,3,32,76,70
S01010490,526,110,62,268,6,22,30,28
S01010491,633,130,84,286,5,28,69,31
S01010492,425,84,34,193,1,26,48,39
S01010493,487,90,74,235,2,24,37,25
S01010494,467,174,46,183,0,8,37,19
S01010495,644,114,66,317,3,34,79,31
S01010496,620,130,70,275,5,35,55,50
S01010497,552,160,84,223,4,23,40,18
S01010498,642,148,84,283,3,27,51,46
S01010499,640,102,58,319,8,28,69,56
S01010500,747,206,92,324,3,36,51,35
S01010501,728,218,92,265,2,35,55,61
S01010502,612,216,86,201,3,30,53,23
S01010503,547,126,58,218,7,24,52,62
S01010504,433,228,56,71,8,15,23,32
S01010505,453,222,66,96,8,9,23,29
S01010506,682,356,60,154,11,11,42,48
S01010507,641,292,68,175,3,18,41,44
S01010508,793,398,102,153,11,13,50,66
S01010509,776,434,98,159,6,9,29,41
S01010510,653,352,58,124,2,11,36,70
S01010511,669,272,82,166,8,19,67,55
S01010512,501,224,56,106,9,4,40,62
S01010513,608,358,68,104,5,5,30,38
S01010514,558,260,68,122,7,16,31,54
S01010515,662,304,84,142,8,20,43,61
S01010516,462,234,50,95,6,17,26,34
S01010517,675,272,92,209,6,11,44,41
S01010518,543,230,80,148,6,15,32,32
S01010519,568,278,64,143,4,13,42,24
S01010520,755,346,120,147,7,14,43,78
S01010521,594,252,86,142,4,15,49,46
S01010522,478,180,63,151,2,8,39,35
S01010523,457,168,88,123,3,15,36,24
S01010524,450,272,46,85,4,4,16,23
S01010525,513,310,44,89,9,6,24,31
S01010526,648,302,88,148,5,12,39,54
S01010527,735,290,100,160,5,28,61,91
S01010528,496,282,36,111,3,4,27,33
S01010529,571,326,56,118,6,9,21,35
S01010530,532,310,64,81,5,7,23,42
S01010531,906,482,98,168,8,14,47,89
S01010532,457,262,54,84,2,9,14,32
S01010533,488,248,46,97,3,13,27,54
S01010534,703,356,82,146,6,15,46,52
S01010535,556,318,54,94,9,17,37,27
S01010536,695,282,114,159,2,18,54,66
S01010537,570,214,88,165,5,12,39,47
S01010538,598,266,110,157,3,15,33,14
S01010539,859,356,175,200,11,22,46,49
S01010540,538,272,72,109,9,11,25,40
S01010541,687,394,80,122,6,14,39,32
S01010542,730,412,68,138,8,19,35,50
S01010543,502,294,56,93,4,9,17,29
S01010544,678,348,76,131,3,18,43,59
S01010545,577,278,70,106,6,23,30,64
S01010546,631,290,90,125,12,13,39,62
S01010547,619,338,88,119,3,9,29,33
S01010548,572,348,66,70,7,6,26,49
S01010549,703,466,80,82,3,11,36,25
S01010550,447,222,44,106,1,10,26,38
S01010551,511,320,42,90,2,11,26,20
S01010552,630,368,52,117,3,12,33,45
S01010553,514,304,64,84,4,17,23,18
S01010554,637,236,96,124,14,22,76,69
S01010555,765,278,132,193,11,24,74,53
S01010556,705,264,94,179,12,23,58,75
S01010557,510,240,50,110,7,22,28,53
S01010558,669,348,70,124,4,20,40,63
S01010559,611,372,32,84,7,5,32,79
S01010560,564,328,46,107,4,11,24,44
S01010561,577,350,58,87,2,5,20,55
S01010562,623,354,48,128,3,11,26,53
S01010563,415,168,64,104,2,10,31,36
S01010564,442,164,38,126,2,5,61,46
S01010565,543,270,54,123,2,8,34,52
S01010566,874,494,100,165,5,16,36,58
S01010567,794,498,62,158,4,12,29,31
S01010568,770,424,108,144,4,19,41,30
S01010569,603,334,76,116,2,9,39,27
S01010570,860,356,114,220,3,30,66,71
S01010571,655,256,110,171,2,16,60,40
S01010572,613,196,118,191,3,19,62,24
S01010573,426,196,52,108,2,14,26,28
S01010574,473,300,44,71,6,4,21,27
S01010575,577,382,32,90,3,5,22,43
S01010576,680,426,56,117,5,5,21,50
S01010577,691,256,88,200,3,21,84,39
S01010578,461,214,52,144,0,9,27,15
S01010579,631,332,70,143,1,16,25,44
S01010580,464,164,88,140,6,12,35,19
S01010581,423,210,48,107,4,14,27,13
S01010582,365,202,54,67,4,6,13,19
S01010583,810,458,94,148,3,19,36,52
S01010584,596,310,96,130,2,14,26,18
S01010585,599,290,146,112,3,11,25,12
S01010586,621,390,70,89,7,11,21,33
S01010587,588,354,62,105,4,6,21,36
S01010588,509,282,60,101,6,8,25,27
S01010589,504,190,82,141,3,16,52,20
S01010590,627,450,38,93,5,8,15,18
S01010591,540,270,116,104,3,15,26,6
S01010592,429,168,74,121,3,14,29,20
S01010593,506,320,44,80,3,7,23,29
S01010594,508,222,102,121,3,12,30,18
S01010595,561,268,104,122,8,13,36,10
S01010596,628,366,104,108,4,9,17,20
S01010597,485,190,120,124,3,22,19,7
S01010598,740,354,138,175,4,24,34,11
S01010599,474,290,50,95,4,8,13,14
S01010600,808,450,69,162,9,16,44,58
S01010601,572,352,42,88,1,9,30,50
S01010602,449,196,64,118,6,11,28,26
S01010603,697,374,76,150,6,10,26,55
S01010604,393,246,28,71,3,5,21,19
S01010605,765,448,50,156,12,4,26,69
S01010606,659,272,104,160,7,15,45,56
S01010607,695,386,72,143,7,12,25,50
S01010608,503,136,54,189,6,23,62,33
S01010609,452,152,76,142,2,12,37,31
S01010610,565,296,56,97,8,10,32,66
S01010611,779,276,96,240,4,22,73,68
S01010612,620,338,68,130,7,14,32,31
S01010613,602,256,54,151,3,19,48,71
S01010614,443,148,58,125,2,24,55,31
S01010615,658,256,112,185,9,24,56,16
S01010616,731,382,78,169,3,7,38,54
S01010617,737,414,74,159,7,13,30,40
S01010618,633,350,70,147,1,9,34,22
S01010619,516,102,130,197,10,20,43,14
S01010620,543,58,134,260,10,23,42,16
S01010621,763,328,112,217,7,12,49,38
S01010622,520,146,68,188,5,16,50,47
S01010623,554,388,30,86,5,20,14,11
S01010624,441,206,40,115,4,11,34,31
S01010625,662,408,38,127,3,5,18,63
S01010626,704,424,42,119,6,9,35,69
S01010627,669,228,88,228,14,11,54,46
S01010628,789,256,108,272,13,20,38,82
S01010629,749,322,68,192,8,23,55,81
