,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S01004905,430,87,205,-,53,23,56,4,2
S01004906,406,72,207,-,18,39,57,3,10
S01004907,324,112,186,-,1,2,20,1,2
S01004908,252,52,136,-,37,6,16,3,2
S01004909,366,135,180,-,7,5,32,4,3
S01004910,340,114,147,-,36,19,18,1,5
S01004911,296,46,232,-,1,1,9,5,2
S01004912,327,67,120,-,63,39,36,1,1
S01004913,287,78,99,-,96,-,5,4,5
S01004914,261,25,143,-,3,34,56,-,-
S01004915,314,41,112,-,46,73,36,5,1
S01004916,332,84,108,2,63,27,42,5,1
S01004917,200,26,164,-,3,-,6,-,1
S01004918,264,48,167,-,3,24,16,4,2
S01004919,272,37,134,-,39,27,29,4,2
S01004920,411,102,185,-,49,37,36,1,1
S01004921,322,62,116,-,52,33,52,6,1
S01004922,238,51,171,-,6,1,5,2,2
S01004923,354,34,182,-,7,99,28,1,3
S01004924,350,82,180,-,50,21,14,2,1
S01004925,271,69,105,-,75,4,14,3,1
S01004926,312,118,177,-,4,6,3,3,1
S01004927,340,85,221,-,7,2,17,6,2
S01004928,476,109,340,-,6,2,15,2,2
S01004929,249,76,146,-,15,1,9,1,1
S01004930,317,65,79,-,122,3,41,3,4
S01004931,468,109,139,1,169,3,39,2,6
S01004932,354,52,91,-,175,2,26,5,3
S01004933,350,90,136,1,104,5,12,-,2
S01004934,347,69,105,1,94,34,34,7,3
S01004935,199,97,94,-,2,-,3,1,2
S01004936,515,129,120,1,127,71,52,11,4
S01004937,269,49,54,-,150,1,12,3,-
S01004938,361,93,116,1,126,1,17,4,3
S01004939,242,37,101,-,72,2,22,6,2
S01004940,219,63,87,-,55,-,12,1,1
S01004941,253,45,82,2,108,2,11,3,-
S01004942,357,140,155,-,51,-,7,1,3
S01004943,422,118,204,-,65,12,16,4,3
S01004944,211,77,84,1,37,1,5,1,5
S01004945,327,121,115,-,46,1,32,7,5
S01004946,297,156,95,2,5,8,9,4,18
S01004947,306,146,95,5,6,19,27,2,6
S01004948,279,120,51,1,31,5,47,14,10
S01004949,302,163,80,3,5,8,29,6,8
S01004950,313,124,102,24,4,26,23,4,6
S01004951,379,120,82,13,89,28,37,7,3
S01004952,486,187,144,29,15,66,29,-,16
S01004953,438,131,143,1,81,9,32,21,20
S01004954,316,79,88,-,110,1,29,7,2
S01004955,290,99,85,-,66,4,19,4,13
S01004956,362,164,86,3,13,48,35,4,9
S01004957,294,149,94,1,4,1,27,3,15
S01004958,542,131,134,35,24,132,57,10,19
S01004959,410,96,65,3,86,21,114,9,16
S01004960,275,93,77,1,40,1,43,12,8
S01004961,320,107,76,7,6,58,49,10,7
S01004962,257,131,88,-,2,3,20,4,9
S01004963,287,117,70,13,16,34,25,5,7
S01004964,444,241,119,3,6,11,37,8,19
S01004965,413,220,114,2,10,23,23,7,14
S01004966,436,246,123,-,1,8,28,9,21
S01004967,275,138,92,2,7,-,14,6,16
S01004968,279,155,55,1,16,18,18,4,12
S01004969,425,272,61,-,18,7,34,5,28
S01004970,405,222,55,2,30,22,30,13,31
S01004971,511,306,83,1,41,13,36,11,20
S01004972,384,179,109,3,25,14,31,4,19
S01004973,360,155,162,-,12,1,22,2,6
S01004974,458,182,209,6,7,7,36,4,7
S01004975,332,180,121,1,10,3,11,2,4
S01004976,415,119,147,5,53,42,43,6,-
S01004977,462,126,157,-,134,8,27,3,7
S01004978,406,148,171,-,34,17,23,10,3
S01004979,327,164,136,1,5,1,12,2,6
S01004980,444,202,178,-,6,2,48,2,6
S01004981,415,216,132,-,10,11,28,5,13
S01004982,255,107,107,-,6,1,15,4,15
S01004983,426,131,145,4,60,22,42,8,14
S01004984,341,146,113,1,29,10,26,7,9
S01004985,352,106,144,3,29,16,42,4,8
S01004986,295,133,115,-,10,3,21,3,10
S01004987,204,93,87,-,3,-,13,1,7
S01004988,218,102,95,1,3,-,12,2,3
S01004989,314,128,95,-,3,3,62,10,13
S01004990,241,104,83,-,21,1,11,3,18
S01004991,279,118,83,-,22,7,31,4,14
S01004992,364,92,118,3,123,2,23,-,3
S01004993,309,182,108,-,1,1,10,1,6
S01004994,356,176,87,-,11,28,35,7,12
S01004995,460,116,143,-,50,82,59,5,5
S01004996,304,103,112,4,11,12,51,8,3
S01004997,398,140,107,1,22,13,96,3,16
S01004998,510,195,190,14,10,42,36,5,18
S01004999,368,107,104,-,59,9,74,4,11
S01005000,262,105,76,-,23,2,44,3,9
S01005001,439,168,182,4,19,13,33,5,15
S01005002,461,259,98,-,9,23,48,2,22
S01005003,438,131,123,7,19,36,86,10,26
S01005004,354,109,174,2,31,10,20,3,5
S01005005,450,151,148,1,68,56,17,2,7
S01005006,314,118,110,5,18,3,49,6,5
S01005007,446,193,86,-,71,58,26,4,8
S01005008,379,141,101,2,16,5,70,6,38
S01005009,392,142,192,1,20,3,27,2,5
S01005010,315,102,80,1,12,74,35,8,3
S01005011,371,58,110,15,120,38,21,3,6
S01005012,482,146,122,8,46,21,111,16,12
S01005013,341,142,106,1,65,3,20,2,2
S01005014,369,89,123,1,93,36,16,5,6
S01005015,291,123,83,1,28,20,27,3,6
S01005016,416,159,112,5,39,30,60,5,6
S01005017,315,183,112,-,1,1,13,3,2
S01005018,230,81,89,-,40,4,7,5,4
S01005019,378,61,78,13,64,92,52,13,5
S01005020,328,139,96,2,19,25,31,10,6
S01005021,425,243,126,1,4,21,18,4,8
S01005022,300,101,127,-,22,4,41,3,2
S01005023,325,101,86,-,8,20,85,10,15
S01005024,430,194,143,-,48,2,36,1,6
S01005025,301,107,67,1,36,-,70,1,19
S01005026,282,164,78,-,2,3,26,1,8
S01005027,339,103,118,-,4,-,100,6,8
S01005028,397,167,144,1,5,10,64,1,5
S01005029,503,117,226,-,6,-,129,18,7
S01005030,436,201,165,-,37,1,26,2,4
S01005031,400,98,93,1,66,5,116,13,8
S01005032,421,175,154,-,32,3,45,4,8
S01005033,293,144,136,2,1,-,5,1,4
S01005034,352,197,129,-,1,1,16,3,5
S01005035,453,152,164,10,27,-,79,9,12
S01005036,305,169,97,-,1,2,25,4,7
S01005037,712,75,126,4,96,139,247,20,5
S01005038,324,157,137,10,2,2,11,2,3
S01005039,465,249,174,-,7,7,20,4,4
S01005040,715,71,102,15,143,122,245,11,6
S01005041,441,40,74,-,37,13,256,17,4
S01005042,352,207,124,-,2,-,13,1,5
S01005043,377,126,89,-,85,40,35,1,1
S01005044,500,141,132,14,53,34,106,8,12
S01005045,392,156,181,1,9,13,28,3,1
S01005046,537,197,210,2,42,1,78,2,5
S01005047,981,138,154,15,123,175,345,22,9
S01005048,219,139,67,-,1,2,6,1,3
S01005049,459,89,79,5,51,35,191,6,3
S01005050,464,62,96,1,185,86,28,4,2
S01005051,378,160,184,-,2,-,27,2,3
S01005052,365,146,130,1,9,-,58,8,13
S01005053,360,37,94,1,181,12,26,3,6
S01005054,232,44,61,2,92,14,11,7,1
S01005055,337,72,111,-,91,43,18,2,-
S01005056,380,87,99,1,23,44,112,7,7
S01005057,365,44,98,2,190,10,16,2,3
S01005058,390,63,76,43,68,81,51,6,2
S01005059,232,67,83,-,57,4,14,3,4
S01005060,327,62,107,-,127,2,18,6,5
S01005061,527,195,131,1,76,57,59,4,4
S01005062,214,12,16,-,-,41,123,19,3
S01005063,196,47,116,1,6,-,23,2,1
S01005064,325,156,125,-,3,3,27,3,8
S01005065,644,90,203,11,73,98,146,16,7
S01005066,368,23,49,-,43,223,21,6,3
S01005067,206,64,36,-,1,2,75,8,20
S01005068,285,72,100,-,93,4,8,1,7
S01005069,285,44,80,-,136,5,15,2,3
S01005070,520,163,151,-,29,21,139,4,13
S01005071,78,3,23,-,23,18,8,3,-
S01005072,291,63,95,3,84,22,18,3,3
S01005073,285,133,69,1,4,3,62,4,9
S01005074,495,147,241,1,37,26,30,3,10
S01005075,172,13,21,1,10,110,15,2,-
S01005076,356,54,104,1,166,4,23,2,2
S01005077,404,38,262,44,12,1,42,3,2
S01005078,319,70,111,1,115,3,17,1,1
S01005079,294,62,88,-,108,1,28,4,3
S01005080,206,44,62,-,83,-,15,-,2
S01005081,298,61,112,-,92,3,25,3,2
S01005082,285,89,120,20,28,3,20,1,4
S01005083,467,161,142,1,66,28,57,6,6
S01005084,285,55,98,1,113,1,15,1,1
S01005085,241,83,74,-,35,-,44,2,3
S01005086,647,76,281,22,85,143,25,7,8
S01005087,230,57,76,-,69,10,13,1,4
S01005088,243,94,83,-,50,-,9,1,6
S01005089,348,153,86,-,60,24,17,4,4
S01005090,391,180,124,5,34,1,38,3,6
S01005091,307,220,63,-,4,2,11,2,5
S01005092,322,113,104,1,49,14,33,4,4
S01005093,338,85,102,-,106,-,30,8,7
S01005094,325,100,154,-,-,3,51,1,16
S01005095,681,274,210,-,39,3,121,13,21
S01005096,311,87,151,2,17,22,24,4,4
S01005097,351,148,143,1,19,4,30,2,4
S01005098,333,143,100,-,60,2,17,4,7
S01005099,381,181,123,-,48,6,14,4,5
S01005100,360,143,173,1,14,13,13,1,2
S01005101,478,159,175,-,44,3,87,8,2
S01005102,365,144,115,1,27,-,56,8,14
S01005103,420,165,143,-,6,25,66,7,8
S01005104,280,83,67,-,9,-,74,6,41
S01005105,422,121,139,-,59,43,53,3,4
S01005106,254,81,72,-,57,16,21,1,6
S01005107,198,78,85,-,6,3,22,3,1
S01005108,296,90,114,2,45,16,19,8,2
S01005109,583,228,234,1,15,2,68,10,25
S01005110,512,192,127,1,22,2,135,6,27
S01005111,243,107,93,-,11,3,21,-,8
S01005112,374,145,93,-,27,7,58,18,26
S01005113,480,158,147,4,76,38,44,4,9
S01005114,432,88,119,2,137,25,51,8,2
S01005115,421,146,98,4,37,37,80,10,9
S01005116,291,74,77,2,18,4,92,7,17
S01005117,397,152,153,1,25,1,45,4,16
S01005118,374,142,90,1,39,32,47,7,16
S01005119,305,212,74,-,3,1,8,3,4
S01005120,297,161,101,6,11,-,16,2,-
S01005121,388,150,141,5,9,5,50,6,22
S01005122,379,157,118,32,31,5,24,2,10
S01005123,364,216,96,1,6,8,25,2,10
S01005124,298,117,103,-,54,1,16,4,3
S01005125,460,85,88,3,101,49,116,11,7
S01005126,272,103,96,-,30,4,20,6,13
S01005127,315,61,59,-,115,57,16,5,2
S01005128,472,246,129,2,9,2,63,6,15
S01005129,403,128,125,4,85,23,29,4,5
S01005130,320,51,60,3,157,21,18,5,5
S01005131,420,162,108,-,38,52,44,5,11
S01005132,293,124,104,2,12,1,38,6,6
S01005133,182,87,40,-,4,1,34,4,12
S01005134,482,198,125,1,90,20,39,3,6
S01005135,353,142,114,-,38,1,48,3,7
S01005136,402,108,97,6,85,33,55,9,9
S01005137,414,131,88,-,7,4,129,11,44
S01005138,508,159,129,4,70,60,63,10,13
S01005139,300,91,63,-,35,21,73,6,11
S01005140,272,122,51,-,5,6,46,5,37
S01005141,399,168,84,1,22,16,80,3,25
S01005142,278,97,56,15,13,53,38,2,4
S01005143,537,195,99,4,73,85,67,7,7
S01005144,524,259,132,-,17,29,57,15,15
S01005145,351,150,57,1,24,22,75,10,12
S01005146,309,115,75,1,24,20,42,16,16
S01005147,396,122,66,8,14,18,102,29,37
S01005148,371,109,182,6,22,3,38,5,6
S01005149,288,85,108,-,71,1,16,4,3
S01005150,289,87,133,1,49,-,16,3,-
S01005151,298,93,104,3,33,54,4,2,5
S01005152,507,123,320,-,28,3,18,9,6
S01005153,363,101,209,-,27,5,12,5,4
S01005154,272,119,115,1,4,2,23,2,6
S01005155,288,68,157,-,46,6,8,-,3
S01005156,279,62,126,-,79,1,9,1,1
S01005157,388,105,158,-,101,8,13,2,1
S01005158,301,103,123,-,42,13,18,1,1
S01005159,408,98,176,-,81,27,19,2,5
S01005160,493,108,180,-,116,67,13,6,3
S01005161,370,69,184,1,95,6,11,4,-
S01005162,448,92,146,1,78,102,24,1,4
S01005163,277,57,132,1,69,3,14,-,1
S01005164,382,107,149,5,7,75,33,3,3
S01005165,364,102,149,-,61,27,18,6,1
S01005166,438,82,166,-,61,91,31,6,1
S01005167,319,41,88,1,159,4,22,-,4
S01005168,286,55,152,-,61,3,13,2,-
S01005169,238,82,131,-,12,4,8,-,1
S01005170,311,144,136,1,14,5,6,1,4
S01005171,348,50,121,1,117,33,22,3,1
S01005172,515,78,391,1,15,4,22,3,1
S01005173,255,64,134,-,15,27,13,1,1
S01005174,339,57,93,-,80,98,8,2,1
S01005175,357,146,155,1,8,-,40,4,3
S01005176,367,41,102,3,192,7,17,4,1
S01005177,443,40,85,-,135,122,56,3,2
S01005178,413,114,160,-,55,68,12,2,2
S01005179,425,89,241,-,48,6,35,4,2
S01005180,357,127,202,-,3,-,23,2,-
S01005181,345,68,201,-,23,6,9,35,3
S01005182,387,40,97,-,194,32,18,3,3
S01005183,461,84,136,-,198,20,16,6,1
S01005184,366,32,56,-,261,7,9,-,1
S01005185,257,79,107,-,42,4,23,1,1
S01005186,423,150,138,1,92,5,32,2,3
S01005187,511,148,214,-,114,1,29,1,4
S01005188,356,188,152,-,4,2,8,-,2
S01005189,463,93,145,-,142,36,39,3,5
S01005190,371,174,167,2,4,2,13,6,3
S01005191,380,61,107,-,64,111,36,1,-
S01005192,492,164,240,1,23,21,35,5,3
S01005193,317,152,150,-,1,3,9,1,1
S01005194,283,92,125,-,47,6,11,2,-
S01005195,349,172,160,-,5,2,10,-,-
S01005196,352,15,78,1,52,192,11,1,2
S01005197,458,112,144,-,70,51,69,8,4
S01005198,385,194,160,-,3,2,23,2,1
S01005199,318,91,143,1,56,14,11,1,1
S01005200,244,100,121,-,5,2,12,2,2
S01005201,448,92,135,1,157,33,24,6,-
S01005202,412,96,162,-,121,4,29,-,-
S01005203,354,101,155,-,61,27,5,3,2
S01005204,214,84,114,-,2,1,8,4,1
S01005205,497,111,270,10,9,4,79,9,5
S01005206,410,186,160,1,24,6,29,-,4
S01005207,474,83,116,2,244,5,17,4,3
S01005208,309,48,77,-,140,14,27,3,-
S01005209,469,124,178,1,101,16,39,5,5
S01005210,632,116,131,2,323,9,43,5,3
S01005211,376,62,85,-,116,83,25,4,1
S01005212,295,121,127,-,6,-,34,4,3
S01005213,431,156,174,-,61,6,26,2,6
S01005214,560,76,108,5,78,127,153,9,4
S01005215,477,102,146,-,132,58,36,1,2
S01005216,363,39,125,-,137,11,46,2,3
S01005217,367,50,215,-,66,7,27,1,1
S01005218,548,83,121,4,223,66,43,4,4
S01005219,404,84,132,-,100,60,16,6,6
S01005220,347,90,152,-,61,9,32,2,1
S01005221,279,123,115,-,9,14,16,1,1
S01005222,256,62,84,1,74,6,24,4,1
S01005223,382,80,172,-,82,-,37,4,7
S01005224,269,49,209,-,7,-,3,1,-
S01005225,440,154,189,5,30,4,53,3,2
S01005226,212,55,91,3,21,2,36,1,3
S01005227,583,92,162,2,170,32,99,19,7
S01005228,360,193,123,-,4,6,29,1,4
S01005229,687,96,207,1,94,77,197,12,3
S01005230,386,110,155,-,68,6,40,-,7
S01005231,343,75,186,-,3,1,71,4,3
S01005232,687,119,163,-,280,9,108,5,3
S01005233,402,50,95,3,56,137,56,3,2
S01005234,682,128,357,2,21,10,149,10,5
S01005235,320,48,170,1,44,3,51,2,1
S01005236,527,77,277,-,44,86,39,2,2
S01005237,422,245,160,-,7,2,4,-,4
S01005238,373,140,149,-,60,-,19,1,4
S01005239,610,84,153,1,145,58,154,10,5
S01005240,539,47,102,1,75,224,81,8,1
S01005241,395,214,165,-,1,4,8,-,3
S01005242,722,71,128,-,269,67,172,10,5
S01005243,692,52,107,1,126,146,253,3,4
S01005244,353,171,162,-,4,2,7,4,3
S01005245,426,68,81,1,25,72,161,5,13
S01005246,570,39,72,-,54,329,73,-,3
S01005247,261,5,16,1,46,191,2,-,-
S01005248,428,104,77,1,120,46,70,8,2
S01005249,552,70,146,-,12,83,225,7,9
S01005250,516,21,97,1,75,139,178,3,2
S01005251,382,24,152,4,95,74,32,-,1
S01005252,242,33,57,2,44,87,17,2,-
S01005253,235,37,157,-,4,5,25,7,-
S01005254,421,56,167,-,74,14,94,12,4
S01005255,449,42,56,1,259,39,49,2,1
S01005256,335,89,206,5,4,3,23,3,2
S01005257,460,152,198,-,49,2,43,10,6
S01005258,412,193,188,-,11,6,11,1,2
S01005259,253,27,64,-,63,74,24,-,1
S01005260,367,42,67,2,53,155,43,2,3
S01005261,276,9,53,2,19,175,18,-,-
S01005262,606,200,233,-,17,46,87,14,9
S01005263,250,9,24,4,28,177,3,1,4
S01005264,332,75,110,12,48,56,25,3,3
S01005265,292,18,55,1,142,55,19,2,-
S01005266,415,97,127,1,90,70,20,3,7
S01005267,459,95,164,-,21,136,37,2,4
S01005268,842,76,148,1,81,367,145,16,8
S01005269,462,152,192,-,79,1,24,2,12
S01005270,449,213,177,2,6,12,28,9,2
S01005271,205,107,87,-,4,1,5,-,1
S01005272,268,5,15,-,151,89,8,-,-
S01005273,287,90,156,-,6,23,8,2,2
S01005274,448,70,110,-,182,36,32,7,11
S01005275,357,42,71,-,10,155,70,7,2
S01005276,360,63,110,-,67,102,14,3,1
S01005277,260,73,141,-,3,26,15,2,-
S01005278,402,95,155,-,64,48,31,3,6
S01005279,213,83,109,-,2,5,9,4,1
S01005280,407,71,107,1,184,-,34,1,9
S01005281,333,73,147,10,22,60,17,3,1
S01005282,364,52,101,-,170,2,33,5,1
S01005283,307,150,142,1,4,1,4,1,4
S01005284,372,49,84,-,158,47,27,6,1
S01005285,252,66,141,1,9,19,11,2,3
S01005286,319,158,143,-,2,3,13,-,-
S01005287,459,81,174,-,94,3,101,5,1
S01005288,359,65,123,1,148,6,13,1,2
S01005289,487,79,188,-,56,81,74,7,2
S01005290,309,78,113,-,66,2,41,4,5
S01005291,323,92,185,1,3,1,37,3,1
S01005292,362,41,63,1,243,-,9,4,1
S01005293,397,78,121,-,168,13,11,3,3
S01005294,232,107,101,-,6,2,15,-,1
S01005295,274,67,87,-,85,-,25,8,2
S01005296,289,123,154,-,1,2,7,2,-
S01005297,289,169,110,-,2,1,2,1,4
S01005298,393,122,229,-,22,-,13,5,2
S01005299,229,125,94,-,2,2,6,-,-
S01005300,392,129,237,-,1,-,20,3,2
S01005301,318,118,190,-,1,-,8,-,1
S01005302,470,131,215,-,87,-,30,2,5
S01005303,391,138,143,-,68,-,32,6,4
S01005304,293,146,131,-,2,-,8,5,1
S01005305,360,107,129,1,73,6,34,6,4
S01005306,324,71,227,-,8,-,14,3,1
S01005307,341,144,181,-,1,1,13,-,1
S01005308,240,22,70,-,95,16,35,1,1
S01005309,429,140,169,-,74,14,26,3,3
S01005310,543,171,191,-,143,1,29,1,7
S01005311,385,130,217,1,5,-,28,2,2
S01005312,487,87,276,3,33,11,63,3,11
S01005313,367,134,203,-,2,1,22,4,1
S01005314,192,114,67,-,2,-,6,1,2
S01005315,354,31,121,11,61,79,42,5,4
S01005316,379,186,154,1,24,1,7,1,5
S01005317,212,107,93,-,3,-,3,2,4
S01005318,273,120,87,-,48,1,14,2,1
S01005319,242,115,108,-,3,-,12,4,-
S01005320,278,85,119,-,23,2,45,3,1
S01005321,301,101,98,-,66,2,27,3,4
S01005322,797,88,451,-,17,124,103,12,2
S01005323,384,123,143,-,74,3,38,1,2
S01005324,425,85,174,1,111,4,38,11,1
S01005325,"1,096",163,571,4,123,11,204,12,8
S01005326,452,70,117,1,212,11,36,4,1
S01005327,292,49,98,-,90,10,39,6,-
S01005328,506,54,142,1,117,29,140,19,4
S01005329,249,90,87,-,9,4,49,4,6
S01005330,344,111,118,1,81,9,21,1,2
S01005331,382,81,111,-,115,20,47,8,-
S01005332,252,118,90,-,28,2,8,2,4
S01005333,316,124,182,1,2,2,5,-,-
S01005334,455,110,285,1,26,5,24,2,2
S01005335,187,80,96,-,4,2,3,-,2
S01005336,239,68,130,-,4,21,15,1,-
S01005337,322,112,181,9,2,5,11,2,-
S01005338,175,31,140,-,2,1,1,-,-
S01005339,318,79,155,-,8,59,14,1,2
S01005340,211,40,145,2,-,10,11,2,1
S01005341,278,72,134,-,4,51,11,4,2
S01005342,309,85,142,1,2,52,20,4,3
S01005343,340,80,226,5,6,16,5,1,1
S01005344,311,65,150,1,5,80,7,-,3
S01005345,262,66,178,-,3,11,4,-,-
S01005346,270,100,162,-,-,1,6,-,1
S01005347,273,92,162,-,1,3,12,1,2
S01005348,403,80,182,1,14,109,13,3,1
S01005349,317,96,184,-,3,22,10,2,-
S01005350,282,127,131,-,8,3,8,1,4
S01005351,459,124,215,1,10,13,82,9,5
S01005352,401,116,177,-,6,71,24,7,-
S01005353,457,134,196,-,8,87,28,3,1
S01005354,329,143,171,-,6,-,6,-,3
S01005355,318,78,138,1,4,69,23,4,1
S01005356,282,159,112,-,1,-,8,-,2
S01005357,385,97,134,1,10,119,19,2,3
S01005358,367,116,150,-,70,4,20,2,5
S01005359,336,177,149,-,1,1,8,-,-
S01005360,304,163,128,-,8,-,5,-,-
S01005361,375,181,171,-,1,2,18,-,2
S01005362,385,175,76,2,-,70,37,10,15
S01005363,293,126,62,1,-,9,55,8,32
S01005364,399,182,100,2,-,19,65,8,23
S01005365,341,121,110,-,-,12,71,8,19
S01005366,301,132,108,-,-,44,8,2,7
S01005367,454,109,85,-,-,217,30,4,9
S01005368,331,85,95,1,-,100,44,-,6
S01005369,583,146,113,1,-,179,115,21,8
S01005370,397,169,116,-,-,59,39,4,10
S01005371,451,213,165,-,-,32,25,5,11
S01005372,513,187,140,1,-,49,112,12,12
S01005373,406,121,85,-,-,169,24,3,4
S01005374,512,162,136,1,-,60,134,9,10
S01005375,445,174,127,1,-,90,40,6,7
S01005376,479,183,139,-,-,113,28,7,9
S01005377,407,98,106,-,-,179,18,3,3
S01005378,324,53,57,1,-,180,30,3,-
S01005379,402,128,158,-,-,100,8,3,5
S01005380,297,58,51,3,-,172,7,1,5
S01005381,275,37,53,1,-,174,6,2,2
S01005382,306,25,33,-,-,233,12,-,3
S01005383,250,86,46,-,-,15,66,4,33
S01005384,396,196,114,-,-,5,63,2,16
S01005385,427,131,104,1,-,14,129,14,34
S01005386,320,146,98,2,-,51,16,2,5
S01005387,402,105,124,1,-,136,20,5,11
S01005388,337,126,86,-,-,101,17,-,7
S01005389,453,98,85,3,-,170,71,11,15
S01005390,373,85,139,1,-,116,23,3,6
S01005391,350,107,116,-,-,74,35,13,5
S01005392,381,114,58,3,-,27,130,8,41
S01005393,403,135,97,1,-,55,84,5,26
S01005394,365,121,114,5,-,41,49,11,24
S01005395,411,188,129,-,-,20,52,8,14
S01005396,324,116,80,1,-,20,73,3,31
S01005397,293,135,58,1,-,72,16,2,9
S01005398,437,210,148,1,-,54,18,2,4
S01005399,517,147,126,2,-,184,43,9,6
S01005400,472,90,83,1,-,255,35,5,3
S01005401,424,165,114,2,-,89,38,11,5
S01005402,506,171,173,-,-,71,70,15,6
S01005403,423,119,128,-,-,151,13,9,3
S01005404,445,183,99,1,-,42,91,12,17
S01005405,268,101,77,5,-,48,31,1,5
S01005406,269,95,74,-,-,88,8,3,1
S01005407,625,217,159,4,-,34,175,6,30
S01005408,296,71,84,-,-,113,21,-,7
S01005409,321,105,122,1,-,70,14,4,5
S01005410,450,102,104,1,-,30,165,11,37
S01005411,456,193,151,1,-,58,34,6,13
S01005412,462,147,146,1,-,112,46,-,10
S01005413,551,144,93,7,-,149,130,11,17
S01005414,465,194,140,-,-,52,52,7,20
S01005415,492,207,107,2,-,136,26,6,8
S01005416,515,129,84,-,-,224,51,9,18
S01005417,492,119,196,12,-,108,51,3,3
S01005418,538,279,141,1,-,34,66,5,12
S01005419,344,115,77,-,-,125,15,1,11
S01005420,316,141,113,-,-,39,12,5,6
S01005421,371,104,148,8,-,81,21,5,4
S01005422,398,153,94,-,-,103,36,4,8
S01005423,414,120,180,5,-,72,26,5,6
S01005424,369,132,112,-,-,90,28,4,3
S01005425,479,59,55,-,-,344,12,3,6
S01005426,377,77,49,-,-,229,14,3,5
S01005427,436,103,87,2,-,160,62,14,8
S01005428,493,136,116,-,-,184,28,25,4
S01005429,401,81,87,1,-,99,113,14,6
S01005430,266,118,74,-,-,57,13,-,4
S01005431,305,73,97,-,-,114,14,2,5
S01005432,371,110,121,1,-,40,86,5,8
S01005433,449,97,144,-,-,106,92,5,5
S01005434,450,69,97,4,-,110,155,11,4
S01005435,536,166,189,1,-,137,33,5,5
S01005436,463,103,166,2,-,120,60,9,3
S01005437,432,116,178,-,-,86,42,7,3
S01005438,340,91,99,-,-,132,11,3,4
S01005439,366,108,105,-,-,97,35,11,10
S01005440,536,185,132,3,-,65,110,6,35
S01005441,482,113,173,-,-,110,73,11,2
S01005442,764,233,307,1,-,82,104,5,32
S01005443,540,209,209,-,-,58,50,7,7
S01005444,543,188,159,-,-,74,91,7,24
S01005445,461,178,162,5,-,74,28,4,10
S01005446,348,94,123,1,-,90,26,6,8
S01005447,388,142,145,-,-,80,13,4,4
S01005448,355,152,137,2,-,43,16,4,1
S01005449,402,149,109,-,-,5,88,9,42
S01005450,611,228,113,3,-,189,53,9,16
S01005451,415,172,128,-,-,88,18,6,3
S01005452,379,219,143,-,-,5,7,3,2
S01005453,366,127,88,-,-,113,25,8,5
S01005454,475,212,110,3,-,55,74,9,12
S01005455,508,155,104,1,-,151,72,18,7
S01005456,399,137,140,-,-,49,59,11,3
S01005457,457,130,128,7,-,137,39,3,13
S01005458,333,82,100,7,-,113,24,4,3
S01005459,383,125,117,-,-,29,83,4,25
S01005460,367,120,109,1,-,43,70,5,19
S01005461,329,105,60,-,-,31,111,1,21
S01005462,480,203,91,-,-,28,110,10,38
S01005463,260,83,113,-,-,44,18,1,1
S01005464,294,92,86,1,-,87,20,4,4
S01005465,277,77,110,1,-,46,34,3,6
S01005466,466,162,150,-,-,30,76,9,39
S01005467,233,92,79,6,-,34,15,2,5
S01005468,385,169,136,3,-,17,35,5,20
S01005469,419,151,66,1,-,22,138,10,31
S01005470,335,137,99,-,-,68,20,7,4
S01005471,301,122,131,7,-,18,18,4,1
S01005472,557,148,253,2,-,32,77,12,33
S01005473,433,143,116,-,-,28,122,4,20
S01005474,457,143,69,3,-,196,31,8,7
S01005475,382,146,99,1,-,13,67,13,43
S01005476,347,124,148,3,-,7,35,10,20
S01005477,364,138,104,-,-,80,34,6,2
S01005478,386,117,78,3,-,149,36,1,2
S01005479,269,100,72,1,-,72,18,2,4
S01005480,576,261,187,1,-,18,87,3,19
S01005481,276,74,74,-,-,106,13,2,7
S01005482,297,127,66,-,-,14,65,3,22
S01005483,400,138,113,1,-,53,78,6,11
S01005484,245,96,67,1,-,57,15,3,6
S01005485,365,97,97,5,-,148,7,5,6
S01005486,428,130,98,-,-,172,19,3,6
S01005487,400,144,74,1,-,132,36,6,7
S01005488,329,87,93,1,-,131,11,1,5
S01005489,428,144,117,1,-,57,74,5,30
S01005490,312,168,84,-,-,35,13,4,8
S01005491,370,146,108,3,-,68,33,3,9
S01005492,407,166,106,1,41,34,43,8,8
S01005493,306,156,114,3,12,1,9,3,8
S01005494,339,114,129,-,50,17,19,7,3
S01005495,307,135,97,-,45,3,15,2,10
S01005496,437,195,139,-,38,11,33,6,15
S01005497,338,140,147,3,5,5,25,5,8
S01005498,448,146,112,-,80,44,49,8,9
S01005499,276,53,56,-,152,3,9,2,1
S01005500,306,108,91,-,73,7,15,7,5
S01005501,447,139,113,11,63,98,15,1,7
S01005502,418,152,90,4,116,10,31,7,8
S01005503,279,103,66,12,67,7,17,4,3
S01005504,312,107,74,-,66,7,41,7,10
S01005505,287,82,63,-,109,9,13,10,1
S01005506,432,109,103,1,119,6,61,12,21
S01005507,274,61,54,2,78,27,35,11,6
S01005508,359,98,60,14,86,84,16,1,-
