"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01000969",0.26,0.27374426946714,0.216567583040736,0.0896951786587704,2.40813967540076,"Dumfries and Galloway"
"S01000970",0.1,-0.0556123750507858,-0.295070474208002,-0.225121969044059,3.86820410185787,"Dumfries and Galloway"
"S01000971",0.43,0.199313362562377,-0.363663195322878,-0.103878529600952,-0.4268622829905,"Dumfries and Galloway"
"S01000972",-1.2,-0.956358707881741,-0.660367126871095,-0.859495199293574,-0.652150074615973,"Dumfries and Galloway"
"S01000973",-0.01,-0.622769757985781,0.160039213114075,-0.251160372874671,-0.140210462962678,"Dumfries and Galloway"
"S01000974",-1.31,-1.34734851524526,-0.609568399528953,-0.535311823371012,0.00898538715585373,"Dumfries and Galloway"
"S01000975",-1.12,-1.16657108993,0.970349370164496,-0.465646259888259,-1.45508795514557,"Dumfries and Galloway"
"S01000976",-0.53,-0.541604518060273,1.40279334107161,-0.331791332403622,3.62610668661936,"Dumfries and Galloway"
"S01000977",-0.6,-0.835233148422909,-0.344475475257254,-0.451919658325811,0.0815217010056104,"Dumfries and Galloway"
"S01000978",-0.58,-0.682534045773891,0.432220336259278,-0.432619590037174,2.7986576487856,"Dumfries and Galloway"
"S01000979",-0.62,-0.702224010690762,0.112176971867923,-0.21751766827175,2.78269450596316,"Dumfries and Galloway"
"S01000980",-0.54,-0.703061213890835,0.621947827045192,-0.740709493426645,0.196025584921921,"Dumfries and Galloway"
"S01000981",-1.16,-1.000238870931,-0.237025598980835,-0.562361398889468,2.9168609526214,"Dumfries and Galloway"
"S01000982",-1.02,-1.29763508655304,-0.156024552992771,-0.0118558397605803,-0.270882780582306,"Dumfries and Galloway"
"S01000983",-0.96,-0.975356404135759,-0.0530378776219324,-0.41526775360005,-0.0443301608670763,"Dumfries and Galloway"
"S01000984",-0.95,-0.673170317364127,0.278099748106536,-0.212003383908026,1.62649913497717,"Dumfries and Galloway"
"S01000985",0.12,-0.616488982263094,0.67469665024103,0.215103941123114,2.91094257837973,"Dumfries and Galloway"
"S01000986",-0.6,-0.795453563712276,-0.0420083615270009,-0.658239249987816,-0.663302607515437,"Dumfries and Galloway"
"S01000987",-0.99,-0.976450615254567,0.878226071178027,-0.266773991709095,-0.178622528323448,"Dumfries and Galloway"
"S01000988",-1.73,-1.59858713296331,-0.644503406292853,-0.566495416765355,2.32479383575386,"Dumfries and Galloway"
"S01000989",-0.93,-1.01572273384428,-0.226137342566502,-0.343923424227388,1.03811898048205,"Dumfries and Galloway"
"S01000990",-0.45,-0.524481364982533,0.57034030877588,-0.135087869866401,0.0138607130701063,"Dumfries and Galloway"
